ÝLÇE ADI;MAHALLE ADI;TRAKTÖR SAYISI
Çumra;B.AÞLAMA;200 Adet
Çumra;CÝCEK;50 Adet
Çumra;ÇUKURKAVAK;25 Adet
Çumra;DÝNLENDÝK;70 Adet
Çumra;DÝNEKSARAY;50 Adet
Çumra;DOÐANLI;150 Adet
Çumra;FETHÝYE;35 Adet
Çumra;GÖKHÜYÜK;200 Adet
Çumra;ERENTEPE;70 Adet
Çumra;ÝNLÝ;200 Adet
Çumra;KUZUCU;70 Adet
Çumra;KÜÇÜKKÖY;100 Adet
Çumra;SEÇME;35 Adet
Çumra;SÜRGÜÇ;700 Adet
Çumra;TAHTALI;12 Adet
Çumra;T.KARAHÜYÜK;550 Adet
Çumra;TAÞAÐIL;550 Adet
Çumra;UZUNKUYU;200 Adet
Çumra;ÜÇHÜYÜK;35 Adet
Çumra;ÜRÜNLÜ;200 Adet
Çumra;YÖRÜKCAMÝLÝ;45 Adet
Çumra;ÇAYBAÞI;300 Adet
Derbent;ÇÝFTLÝKÖZÜ;200 Adet
Derbent;DEÐÝÞ;45 Adet
Derbent;TEKKE;25 Adet
Derbent;GÜNEYKÖY;5 Adet
Derbent;MÜLAYÝM;25 Adet
Derbent;SARAYPINAR;60 Adet
Derbent;YASSIÖREN;60 Adet
Derbent;SÜLEYMAN;40 Adet
Derbent;KARALAR;15 Adet
Derebucak;ÇAMLIK;10 Adet
Derebucak;DURAK;2 Adet
Derebucak;GENCEK;15 Adet
Derebucak;GÖYNEM;50 Adet
Derebucak;PINARBAÞI;60 Adet
Derebucak;TAÞLIPINAR;2 Adet
Derebucak;TEPEARASI;12 Adet
Derebucak;UÐURLU;2 Adet
Doðanhisar;BAÞKÖY;500 Adet
Doðanhisar;YAZLICA;200 Adet
Doðanhisar;AYASLAR;100 Adet
Doðanhisar;ÇINAROBA;200 Adet
Doðanhisar;DEÞTÝÐÝN;100 Adet
Doðanhisar;FIRINLI;45 Adet
Doðanhisar;GÜVENDÝK;100 Adet
Doðanhisar;ÝLYASLAR;150 Adet
Doðanhisar;KARAAÐA;200 Adet
Doðanhisar;KEMER;50 Adet
Doðanhisar;KOÇAÞ;400 Adet
Doðanhisar;KONAKKALE;50 Adet
Doðanhisar;TEKKE;3 Adet
Doðanhisar;UNCULAR;100 Adet
Doðanhisar;YAZIR;25 Adet
Doðanhisar;YENÝCE;200 Adet
Emirgazi;EKÝZLÝ;17 Adet
Emirgazi;AKMESCÝT;120 Adet
Emirgazi;BESCÝ;50 Adet
Emirgazi;DEMÝRCÝ;300 Adet
Emirgazi;GÖLÖREN;4 Adet
Emirgazi;IÞIKLAR;20 Adet
Emirgazi;KARAÖREN;15 Adet
Emirgazi;MEÞELÝ;50 Adet
Emirgazi;ÖBEKTAÞ;5 Adet
Emirgazi;YAMAÇ;20 Adet
Ereðli;ZENGEN;250 Adet
Ereðli;ACIPINAR;80 Adet
Ereðli;ADABAÐ;70 Adet
Ereðli;AKHÜYÜK;140 Adet
Ereðli;ALHAN;60 Adet
Ereðli;AÞAÐI GÖNDELEN;150 Adet
Ereðli;AÞIKLAR;40 Adet
Ereðli;AZÝZÝYE;125 Adet
Ereðli;BAHÇELÝ;50 Adet
Ereðli;BELCEAÐAÇ;50 Adet
Ereðli;BELKAYA;600 Adet
Ereðli;BEYKÖY;120 Adet
Ereðli;BEYÖREN;20 Adet
Ereðli;BULGURLUK;300 Adet
Ereðli;BURHANÝYE;50 Adet
Ereðli;BÜYÜKDEDE;10 Adet
Ereðli;ÇAKMAK;150 Adet
Ereðli;ÇAYHAN;400 Adet
Ereðli;ÇÝLLER;200 Adet
Ereðli;ÇÝMENCÝK;50 Adet
Ereðli;GAYBÝ;40 Adet
Ereðli;GÖKÇEYAZI;50 Adet
Ereðli;GÖKTÖME;30 Adet
Ereðli;HACIMEMÝÞ;100 Adet
Ereðli;KAMIÞLIKUYU;100 Adet
Ereðli;KARABURUN;25 Adet
Ereðli;KARGACI;50 Adet
Ereðli;KIZILGEDÝK;3 Adet
Ereðli;KUSKUNCUK;120 Adet
Ereðli;KUTÖREN;250 Adet
Ereðli;KUZUKUYU;60 Adet
Ereðli;MELÝCEK;70 Adet
Ereðli;ORHANÝYE;200 Adet
Ereðli;ÖZGÜRLER;60 Adet
Ereðli;PINARÖZÜ;60 Adet
Ereðli;SARICA;40 Adet
Ereðli;SARITOPALLI;50 Adet
Ereðli;SELVÝLÝ;100 Adet
Ereðli;TAÞAÐIL;90 Adet
Ereðli;TAÞBUDAK;20 Adet
Ereðli;TATLIKUYU;80 Adet
Ereðli;TÜRKMEN;130 Adet
Ereðli;ULUMEÞE;60 Adet
Ereðli;YAZLIK;15 Adet
Ereðli;YELLÝCE;80 Adet
Ereðli;YENÝKÖY;150 Adet
Ereðli;YILDIZLI;30 Adet
Ereðli;YUKARIGÖNDELEN;100 Adet
Ereðli;HORTU;400 Adet
Ereðli;ACIKUYU;100 Adet
Güneysýnýr;GÜRAÐAÇ;100 Adet
Güneysýnýr;AÐAÇOBA;25 Adet
Güneysýnýr;ALANÖZÜ;100 Adet
Güneysýnýr;AVCITEPE;6 Adet
Güneysýnýr;AYDOÐMUÞ;80 Adet
Güneysýnýr;HABÝLLER;17 Adet
Güneysýnýr;KARAGÜNEY;80 Adet
Güneysýnýr;KAYAAÐZI;20 Adet
Güneysýnýr;KIZILÖZ;25 Adet
Güneysýnýr;KURUKAVAK;15 Adet
Güneysýnýr;MEHMET ALÝ;40 Adet
Güneysýnýr;ÖMEROÐLU;25 Adet
Güneysýnýr;ÖRENBOYALI;20 Adet
Güneysýnýr;SARIHACI;0 Adet
Hadim;AÞAÐIEÞENLER;0 Adet
Hadim;AÞAÐIKIZILKAYA;0 Adet
Hadim;BADEMLÝ;0 Adet
Hadim;BAÐBAÞI;0 Adet
Hadim;BEYRELÝ;1 Adet
Hadim;BOLAT;0 Adet
Hadim;ÇÝFTEPINAR;0 Adet
Hadim;DEDEMLÝ;0 Adet
Hadim;DÜLGERLER;4 Adet
Hadim;FAKILAR;1 Adet
Hadim;GAZÝLER;0 Adet
Hadim;GÖYNÜKKIÞLA;0 Adet
Hadim;GÜLPINAR;0 Adet
Hadim;ÝÐDEÖREN;1 Adet
Hadim;KALINAÐIL;0 Adet
Hadim;KAPLANLI;1 Adet
Hadim;GEZLEVÝ;0 Adet
Hadim;KÜPLÜCE;0 Adet
Hadim;ODUNCU;0 Adet
Hadim;SARNIÇ;0 Adet
Hadim;SELAHATTÝN;0 Adet
Hadim;UMURLAR;0 Adet
Hadim;YAÐCI;0 Adet
Hadim;YALINÇEVRE;0 Adet
Hadim;YELMEZ;0 Adet
Hadim;YENÝKONAK;2 Adet
Hadim;YUKARIEÞENLER;1 Adet
Halkapýnar;ÝVRÝZ;11 Adet
Halkapýnar;BÜYÜKDOÐAN;30 Adet
Halkapýnar;DEDELÝ;7 Adet
Halkapýnar;DELÝMAHMUTLU;15 Adet
Halkapýnar;ESKÝHÝSAR;25 Adet
Halkapýnar;KARAYUSUFLU;2 Adet
Halkapýnar;KAYASARAY;10 Adet
Halkapýnar;KÖRLÜ;4 Adet
Halkapýnar;KÜSERE;10 Adet
Halkapýnar;OSMANKÖSELÝ;5 Adet
Halkapýnar;SEYDÝFAKILI;50 Adet
Halkapýnar;YASSIKAYA;4 Adet
Halkapýnar;YAYIKLI;4 Adet
Halkapýnar;YEÞÝLYURT;15 Adet
Halkapýnar;ÇAKILLAR;10 Adet
Hüyük;BAÞLAMIÞ;5 Adet
Hüyük;BUDAK;120 Adet
Hüyük;BURUNSUZ;35 Adet
Hüyük;ÇAMLICA;150 Adet
Hüyük;ÇAVUÞ;120 Adet
Hüyük;ÇUKURKENT;60 Adet
Hüyük;DEÐÝRMENALTI;8 Adet
Hüyük;GÖÇERÝ;90 Adet
Hüyük;GÖRÜNMEZ;40 Adet
Hüyük;ÝLMEN;15 Adet
Hüyük;ÝMRENLER;60 Adet
Hüyük;KIRELÝ;250 Adet
Hüyük;KÖÞK;120 Adet
Hüyük;MUTLU;30 Adet
Hüyük;PINARBAÞI;30 Adet
Hüyük;SELKÝ;500 Adet
Hüyük;SULUDERE;35 Adet
Hüyük;TOLCA;70 Adet
Hüyük;YENÝCE;25 Adet
Ilgýn;ARGITHANI;300 Adet
Ilgýn;BEYKONAK;200 Adet
Ilgýn;ÇAVUÞÇUGÖL;250 Adet
Ilgýn;AÐALAR;200 Adet
Ilgýn;BALKI;250 Adet
Ilgýn;BARAKMUSLU;60 Adet
Ilgýn;BELEKLER;80 Adet
Ilgýn;BOÐAZKENT;45 Adet
Ilgýn;BULCUK;150 Adet
