ÝLÇE ADI;MAHALLE ADI;TRAKTÖR SAYISI
Sarayönü;ÇEÞMELÝSEBÝL;200 Adet
Sarayönü;DEÐÝRMENLÝ;25 Adet
Sarayönü;ERTUÐRUL;50 Adet
Sarayönü;GÖZLÜ;300 Adet
Sarayönü;KADIOÐLU;250 Adet
Sarayönü;KARABIYIK;450 Adet
Sarayönü;KARATEPE;60 Adet
Sarayönü;KAYIÖREN;50 Adet
Sarayönü;KONAR;50 Adet
Sarayönü;KURÞUNLU;30 Adet
Sarayönü;KUYULUSEBÝL;150 Adet
Sarayönü;ÖZKENT;200 Adet
Sarayönü;YENÝCEKAYA;170 Adet
Selçuklu;BAÞARAKAVAK;100 Adet
Selçuklu;hasan;Adet
Selçuklu;SARAYKÖY;2 Adet
Selçuklu;SULUTAS;100 Adet
Selçuklu;TATKÖY;30 Adet
Selçuklu;AKPINAR;60 Adet
Selçuklu;BAÐRIKURT;20 Adet
Selçuklu;BÝÇER;40 Adet
Selçuklu;ÇALDERE;60 Adet
Selçuklu;ÇALTI;50 Adet
Selçuklu;ÇANDIR;8 Adet
Selçuklu;DAÐDERE;40 Adet
Selçuklu;EÐRÝBAYAT;80 Adet
Selçuklu;GÜVENÇ;170 Adet
Selçuklu;KALE;70 Adet
Selçuklu;KARAÖMERLER;100 Adet
Selçuklu;KERVAN;20 Adet
Selçuklu;KINIK;20 Adet
Selçuklu;KIZILCAKUYU;10 Adet
Selçuklu;MEYDAN;100 Adet
Selçuklu;SELAHATTÝN;42 Adet
Selçuklu;SIZMA;30 Adet
Selçuklu;TEPEKENT;70 Adet
Selçuklu;ULUMUHSÝNE;10 Adet
Selçuklu;YAZIBELEN;800 Adet
Selçuklu;SÝLLE;2 Adet
Selçuklu;ARDIÇLI;6 Adet
Selçuklu;AÞAÐIPINARBAÞI;40 Adet
Selçuklu;YUKARIPINARBAÞI;60 Adet
Selçuklu;KÜÇÜKMUHSÝNE;20 Adet
Selçuklu;SARICALAR;30 Adet
Selçuklu;TÖMEK;80 Adet
Selçuklu;YÜKSELEN;20 Adet
Selçuklu;Mehmet Fatih;Adet
Seydiþehir;KESECÝK;250 Adet
Seydiþehir;AKÇALAR;170 Adet
Seydiþehir;AÞAÐIKARAÖREN;80 Adet
Seydiþehir;BAÞKARAÖREN;80 Adet
Seydiþehir;BOSTANDERE;200 Adet
Seydiþehir;BOYALI;150 Adet
Seydiþehir;BÜKÇE;10 Adet
Seydiþehir;ÇAT;20 Adet
Seydiþehir;ÇATMAKAYA;60 Adet
Seydiþehir;ÇAVUÞ;350 Adet
Seydiþehir;DÝKÝLÝTAÞ;200 Adet
Seydiþehir;GEVREKLÝ;700 Adet
Seydiþehir;GÖKÇEHÜYÜK;45 Adet
Seydiþehir;GÖKHÜYÜK;160 Adet
Seydiþehir;GÖLYÜZÜ;60 Adet
Seydiþehir;IRMAKLI;40 Adet
Seydiþehir;ÝNCESU;100 Adet
Seydiþehir;KARABULAK;60 Adet
Seydiþehir;KARACAÖREN;10 Adet
Seydiþehir;KAVAK;120 Adet
Seydiþehir;KETENLÝ;50 Adet
Seydiþehir;KIZILCA;100 Adet
Seydiþehir;KOZLU;15 Adet
Seydiþehir;KUMLUCA;150 Adet
Seydiþehir;KURAN;100 Adet
Seydiþehir;MADENLÝ;0 Adet
Seydiþehir;MESUDÝYE;40 Adet
Seydiþehir;MURADÝYE;40 Adet
Seydiþehir;OÐLAKÇI;15 Adet
Seydiþehir;ORTAKARAÖREN;800 Adet
Seydiþehir;SARAYCIK;25 Adet
Seydiþehir;SUSUZ;40 Adet
Seydiþehir;TARAÞÇI;50 Adet
Seydiþehir;TAÞAÐIL;150 Adet
Seydiþehir;TEPECÝK;150 Adet
Seydiþehir;TOL;80 Adet
Seydiþehir;UFACIK;10 Adet
Seydiþehir;YAYLACIK;70 Adet
Seydiþehir;YENÝCE;4 Adet
Taþkent;AFÞAR;10 Adet
Taþkent;BALCILAR;20 Adet
Taþkent;BOLAY;2 Adet
Taþkent;ÇETMÝ;6 Adet
Taþkent;KECÝMEN;0 Adet
Taþkent;KONGUL;0 Adet
Taþkent;SAZAK;0 Adet
Taþkent;ILICAPINAR;1 Adet
Tuzlukçu;KONARI;70 Adet
Tuzlukçu;MEVLÜTLÜ;60 Adet
Tuzlukçu;KORAÞI;150 Adet
Tuzlukçu;ÇÖÐÜRLÜ;100 Adet
Tuzlukçu;TURSUNLU;100 Adet
Tuzlukçu;KUNDULLU;125 Adet
Tuzlukçu;PAZARKAYA;60 Adet
Tuzlukçu;SUBATAN;30 Adet
Tuzlukçu;GÜRSU;35 Adet
Tuzlukçu;ERDOÐDU;300 Adet
Tuzlukçu;KÖKLÜCE;50 Adet
Yalýhüyük;SARAY;4 Adet
Yalýhüyük;ARASÖÐÜT;20 Adet
Yunak;KUZÖREN;150 Adet
Yunak;KOÇYAZI;350 Adet
Yunak;TURGUT;600 Adet
Yunak;PÝRÝBEYLÝ;700 Adet
Yunak;SÜLÜKLÜ;100 Adet
Yunak;ALTINÖZ;70 Adet
Yunak;AYRITEPE;40 Adet
Yunak;BEÞIÞIKLI;10 Adet
Yunak;CEBRAÝL;50 Adet
Yunak;ÇAYIRBAÞI;300 Adet
Yunak;EÐRÝKUYU;10 Adet
Yunak;HACIÖMEROÐLU;100 Adet
Yunak;HATIRLI;60 Adet
Yunak;HACIFAKILI;400 Adet
Yunak;HARUNLAR;50 Adet
Yunak;HURSUNLU;150 Adet
Yunak;ÝMAMOÐLU;60 Adet
Yunak;KARGALI;10 Adet
Yunak;KARAYAYLA;100 Adet
Yunak;KILLAR;120 Adet
Yunak;KURTUÞAÐI;80 Adet
Yunak;KUYUBAÞI;300 Adet
Yunak;MEÞELÝK;80 Adet
Yunak;ODABAÞI;250 Adet
Yunak;ORTAKIÞLA;100 Adet
Yunak;ÖZYAYLA;50 Adet
Yunak;SERTLER;15 Adet
Yunak;SEVÝNÇ;75 Adet
Yunak;SIRAM;55 Adet
Yunak;SÝNANLI;70 Adet
Yunak;YAVAÞLI;50 Adet
Yunak;YEÞÝLOBA;35 Adet
Yunak;YEÞÝLYAYLA;20 Adet
Yunak;YIÐAR;100 Adet
Yunak;SARAY;720 Adet
;;
