|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
|01.42.12.03.01. (Buzağı Ve Dana, Canlı (Sığır Yerli), 1 Yaşından Küçük Erkek)|2016|38.0|3.0|97.0|0.0|230.0|40.0|415.0|3.0|20.0|61.0|2.0|322.0|0.0|42.0||7.0|210.0|300.0|70.0|730.0|3550.0|904.0|58.0|55.0|170.0|9.0|4.0|0.0|197.0|10.0|220.0|
|01.42.12.03.02. (Buzağı Ve Dana, Canlı (Sığır Yerli), 1 Yaşından Küçük Dişi)|2016|18.0|4.0|103.0|0.0|253.0|46.0|250.0|5.0|24.0|67.0|2.0|290.0|0.0|50.0||5.0|200.0|200.0|80.0|660.0|2750.0|1052.0|63.0|65.0|382.0|12.0|12.0|0.0|128.0|7.0|300.0|
|01.42.12.04.01. (Manda Yavrusu, Canlı, 1 Yaşından Küçük Erkek)|2016|||||18.0|||||||||||0.0|4.0|||||22.0|||||||||2.0|
|01.42.12.04.02. (Manda Yavrusu, Canlı, 1 Yaşından Küçük Dişi)|2016|||||19.0|||||||||||0.0|9.0|||||27.0|||||||||10.0|
|01.43.10.01.01. (At, Canlı, 3 Yaşından Küçük (Dişi Ve Erkek) (Tay))|2016||5.0|7.0|1.0|13.0|7.0|5.0|0.0||2.0|9.0|60.0||11.0|0.0|1.0|9.0|15.0|4.0|6.0|58.0|74.0|2.0|11.0|12.0|10.0|2.0||6.0|6.0|20.0|
|01.43.10.01.02. (At, Canlı, 3 Ve Daha Yukarı Yaşta (Kısrak))|2016||15.0|6.0|0.0|16.0|22.0|11.0|5.0||13.0|26.0|110.0||25.0|8.0|1.0|110.0|29.0|12.0|12.0|0.0|80.0|4.0|31.0|52.0|18.0|2.0||15.0|4.0|33.0|
|01.43.10.01.03. (At, Canlı, 3 Ve Daha Yukarı Yaşta (İğdiş Ve At))|2016||2.0|8.0|0.0|33.0|28.0|0.0|0.0||14.0|0.0|0.0||45.0|68.0|0.0|4.0|0.0|8.0|18.0|0.0|107.0|6.0|30.0|38.0|25.0|7.0||0.0|2.0|6.0|
|01.43.10.01.04. (At, Canlı, 3 Ve Daha Yukarı Yaşta (Damızlık) (Aygır))|2016||0.0|1.0|11.0|0.0|4.0|3.0|0.0||3.0|24.0|12.0||0.0|0.0|3.0|4.0|3.0|5.0|5.0|0.0|14.0|0.0|0.0|0.0|2.0|2.0||0.0|3.0|0.0|
|01.43.10.02.01. (Katır, Canlı, 3 Yaşından Küçük (Dişi Ve Erkek))|2016||0.0|4.0|||8.0||||8.0|6.0|2.0|0.0|95.0|0.0|||||||26.0||7.0|25.0|10.0|||||25.0|
|01.43.10.02.02. (Katır, Canlı, 3 Ve Daha Yukarı Yaşta (Dişi Ve Erkek))|2016||1.0|3.0|||123.0||||30.0|9.0|5.0|28.0|142.0|12.0|||||||48.0||29.0|95.0|30.0|||||30.0|
|01.43.10.03.01. (Eşek, Canlı, 1 Yaşından Küçük (Dişi Ve Erkek))|2016|17.0|20.0|6.0|15.0|88.0|75.0|44.0|33.0|50.0|70.0|19.0|14.0|0.0|70.0|0.0|9.0|35.0|45.0|40.0|0.0|53.0|120.0|13.0|44.0|32.0|20.0|0.0|0.0|40.0|5.0|60.0|
|01.43.10.03.02. (Eşek, Canlı, 1 Ve Daha Yukarı Yaşta (Dişi Ve Erkek))|2016|84.0|120.0|18.0|90.0|254.0|160.0|240.0|172.0|115.0|192.0|150.0|140.0|40.0|195.0|272.0|110.0|370.0|150.0|192.0|84.0|612.0|495.0|36.0|195.0|190.0|75.0|45.0|2.0|215.0|20.0|270.0|
|01.45.11.01.01. (Koyun (Merinos), Canlı, 6 Aydan Küçük (Dişi Ve Erkek), Kuzu)|2016|0.0||3100.0|0.0|||100.0|0.0||145.0||||100.0||120.0|3440.0|824.0|4000.0|300.0||0.0|650.0|40.0|32.0||455.0|48.0|485.0|3400.0|630.0|
|01.45.11.01.02. (Koyun (Merinos), Canlı, 6 - 12 Ay Arası (Dişi Ve Erkek), Toklu)|2016|114.0||247.0|0.0|||1500.0|0.0||275.0||||340.0||166.0|375.0|71.0|12500.0|2500.0||512.0|500.0|990.0|396.0||490.0|23.0|465.0|700.0|2350.0|
|01.45.11.01.03. (Koyun (Merinos), Canlı, 12 - 24 Ay Arası (Dişi Ve Erkek), Şişek)|2016|198.0||370.0|0.0|||1650.0|18.0||385.0||||127.0||183.0|810.0|828.0|55000.0|2000.0||581.0|550.0|311.0|394.0||1450.0|10.0|1320.0|5100.0|1300.0|
|01.45.11.01.04. (Koyun (Merinos), Canlı, 2 Ve Daha Yukarı Yaşta (Dişi Koyun))|2016|32.0||1000.0|3416.0|||2000.0|99.0||530.0||||310.0||190.0|4050.0|11583.0|100000.0|10500.0||3682.0|950.0|3300.0|745.0||2925.0|169.0|1120.0|8200.0|5000.0|
|01.45.11.01.05. (Koyun (Merinos), Canlı, 2 Ve Daha Yukarı Yaşta (Koç))|2016|8.0||410.0|210.0|||82.0|28.0||35.0||||59.0||25.0|250.0|2242.0|20000.0|320.0||118.0|50.0|103.0|52.0||115.0|2.0|305.0|300.0|460.0|
|01.45.11.02.01. (Koyun (Yerli Ve Diğerleri), Canlı, 6 Aydan Küçük (Dişi Ve Erkek), Kuzu)|2016|117.0|0.0|3349.0|1000.0|1800.0|468.0|5000.0|0.0|0.0|730.0|4100.0|10219.0|100.0|305.0|0.0|1416.0|4500.0|5350.0|1500.0|3000.0|3200.0|0.0|10150.0|244.0|230.0|536.0|1150.0|12.0|4100.0|4300.0|3000.0|
|01.45.11.02.02. (Koyun (Yerli Ve Diğerleri), Canlı, 6 - 12 Ay Arası (Dişi Ve Erkek), Toklu)|2016|2530.0|2100.0|2400.0|8000.0|3980.0|1192.0|16000.0|0.0|345.0|780.0|1550.0|2200.0|1700.0|210.0|2006.0|1269.0|3450.0|3500.0|9000.0|40000.0|6900.0|17505.0|7600.0|9472.0|4220.0|405.0|825.0|12.0|2115.0|500.0|21000.0|
|01.45.11.02.03. (Koyun (Yerli Ve Diğerleri), Canlı, 12 - 24 Ay Arası (Dişi Ve Erkek), Şişek)|2016|1320.0|2600.0|1860.0|9800.0|4745.0|1040.0|24750.0|295.0|730.0|1080.0|2300.0|21600.0|1975.0|2800.0|2063.0|606.0|13500.0|9200.0|30000.0|18000.0|9500.0|8645.0|8500.0|7340.0|7230.0|786.0|1355.0|18.0|6120.0|5400.0|1950.0|
|01.45.11.02.04. (Koyun (Yerli Ve Diğerleri), Canlı, 2 Ve Daha Yukarı Yaşta, Dişi Koyun)|2016|877.0|8800.0|7870.0|32864.0|7350.0|10560.0|105000.0|3904.0|1300.0|5400.0|27600.0|95300.0|5025.0|7200.0|8677.0|3875.0|39900.0|35202.0|92000.0|105000.0|85200.0|80345.0|42000.0|56100.0|21580.0|3466.0|11350.0|32.0|35200.0|9250.0|64000.0|
|01.45.11.02.05. (Koyun (Yerli Ve Diğerleri), Canlı, 2 Ve Daha Yukarı Yaşta, Koç)|2016|53.0|370.0|1694.0|1200.0|850.0|540.0|10000.0|38.0|135.0|480.0|1200.0|2100.0|350.0|630.0|536.0|337.0|2160.0|3500.0|18000.0|3200.0|2300.0|3347.0|1750.0|3400.0|980.0|534.0|392.0|2.0|725.0|500.0|3550.0|
|01.45.12.01.01. (Keçi (Tiftik), Canlı, 6 Aydan Küçük (Dişi Ve Erkek), Oğlak)|2016|||||0.0||||||||||||35.0||0.0|||||||||||||
|01.45.12.01.02. (Keçi (Tiftik), Canlı, 6 - 12 Ay Arası (Dişi Ve Erkek), Çebiç)|2016|||||36.0||||||||||||55.0||0.0|||||||||||||
|01.45.12.01.03. (Keçi (Tiftik), Canlı, 12 - 24 Ay Arası (Dişi Ve Erkek), Gezdan)|2016|||||45.0||||||||||||66.0||20.0|||||||||||||
|01.45.12.01.04. (Keçi (Tiftik), Canlı, 2 Ve Daha Yukarı Yaşta, Dişi Keçi)|2016|||||65.0||||||||||||105.0||380.0|||||||||||||
|01.45.12.01.05. (Keçi (Tiftik), Canlı, 2 Ve Daha Yukarı Yaşta, Teke)|2016|||||7.0||||||||||||32.0||2.0|||||||||||||
|01.45.12.02.01. (Keçi (Kıl Keçisi Ve Diğerleri), Canlı, 6 Aydan Küçük (Dişi Ve Erkek), Oğlak)|2016|130.0|0.0|325.0|50.0|860.0|1854.0|720.0|0.0|0.0|290.0|390.0|1055.0|100.0|180.0|0.0|288.0|450.0|250.0|2000.0|1000.0|365.0|0.0|130.0|0.0|1230.0|1519.0|100.0||170.0|150.0|600.0|
|01.45.12.02.02. (Keçi (Kıl Keçisi Ve Diğerleri), Canlı, 6 - 12 Ay Arası (Dişi Ve Erkek), Çebiç)|2016|3550.0|3800.0|511.0|100.0|2800.0|1397.0|550.0|0.0|3450.0|340.0|400.0|1830.0|1800.0|1500.0|814.0|213.0|3750.0|435.0|1000.0|1850.0|830.0|3438.0|1220.0|2450.0|2020.0|1651.0|130.0||220.0|50.0|750.0|
|01.45.12.02.03. (Keçi (Kıl Keçisi Ve Diğerleri), Canlı, 12 - 24 Ay Arası (Dişi Ve Erkek), Gezdan)|2016|3320.0|2000.0|305.0|355.0|2200.0|1048.0|2950.0|253.0|2300.0|580.0|480.0|7350.0|2500.0|5700.0|908.0|155.0|3750.0|1100.0|5300.0|1700.0|810.0|2062.0|800.0|310.0|3230.0|2855.0|130.0||200.0|800.0|1000.0|
|01.45.12.02.04. (Keçi (Kıl Keçisi Ve Diğerleri), Canlı, 2 Ve Daha Yukarı Yaşta, Dişi Keçi)|2016|1920.0|2100.0|835.0|1000.0|8450.0|12646.0|3350.0|593.0|6500.0|1170.0|1460.0|12540.0|4500.0|9614.0|1544.0|400.0|4400.0|4300.0|9000.0|3550.0|2200.0|8980.0|1050.0|5950.0|14603.0|6175.0|425.0||371.0|600.0|4000.0|
|01.45.12.02.05. (Keçi (Kıl Keçisi Ve Diğerleri), Canlı, 2 Ve Daha Yukarı Yaşta, Teke)|2016|400.0|380.0|124.0|80.0|610.0|655.0|490.0|0.0|190.0|230.0|66.0|225.0|600.0|1693.0|329.0|111.0|810.0|600.0|3100.0|110.0|60.0|602.0|200.0|70.0|362.0|425.0|30.0||19.0|200.0|330.0|
||||||||||||||||||||||||||||||||||
