||2018||204738.0|25932.0||73291.0||45795.0||||||1644.0||695.0||150.0|||||||||||||||4868.0|30.0|||||80.0|40.0|||||||||||34085.0|225.0|||27834.0|1812.0||72308.0|34.0|100.0||870.0|56108.0|||||||8500.0||5050.0|||||||||||||7.0|||
||2019||207845.0|24779.0||76690.0||46066.0||||||1320.0||685.0||126.0|||||||||||||||5248.0|36.0|||||76.0|40.0|||||||||||34135.0|232.0|||27882.0|1802.0||72935.0|33.0|460.0||930.0|55931.0|||||||5500.0||5050.0|||||||||||||14.0|||
||2020||209715.0|25580.0||77108.0||47398.0||||||1200.0||590.0||108.0|||||||||||||||8354.0||||||104.0|45.0|||||||||||34120.0|430.0|||28229.0|1692.0||78622.0|30.0|300.0||887.0|57804.0|||||||4000.0||9500.0||||||||||||||||
||2021||210567.0|26694.0||82254.0||45728.0||||||1200.0||546.0||150.0|||||||||||||||9164.0||||||92.0|45.0|||||||||||33063.0|432.0|||31194.0|1642.0||79284.0|25.0|320.0||951.0|59685.0|||||||4000.0||9200.0||||||||||||||||
|Konya-42|2004|2510250.0|4541480.0|114900.0|683170.0|3178340.0|204990.0|255590.0||||||15880.0||142850.0||500170.0|13230.0|71640.0|5010.0||70.0|8150.0||4690.0|100.0|||||3140.0|58930.0|42270.0||37250.0|200.0||55730.0||||553830.0|||||||21620.0||||130.0|136560.0|6900.0|||||||49580.0|||||||||||||36120.0|||||0.0|37250.0||||||
||2005|2388370.0|4768130.0|102920.0|728920.0|3247160.0|197500.0|241060.0||||||6770.0||141990.0||493820.0|12700.0|60830.0|6320.0||30.0|7650.0||4690.0|100.0|||||2940.0|53990.0|28860.0||33430.0|||58720.0||||735280.0|||||||33820.0||||690.0|176120.0|7200.0|||||||66800.0|620.0||||||||||||32070.0|||||0.0|33430.0||||||
||2006|1943390.0|4432537.0|79180.0|687530.0|3309382.0|212289.0|243760.0||||||3380.0||148693.0|39.0|465985.0|9128.0|49403.0|5200.0||28.0|7160.0||4600.0|100.0||||10.0|2740.0|65423.0|23754.0||57892.0|||60199.0||||721200.0|||||||59764.0||||484.0|163650.0|5460.0|||||||98704.0|305.0||||||||||||33083.0|||||0.0|57892.0||||||
||2007|1361892.0|4874132.0|91583.0|543110.0|2743688.0|153824.0|70407.0||||||3388.0||130585.0|116.0|287230.0|8375.0|16478.0|100.0||41.0|265.0||3600.0|80.0||||435.0|3666.0|189856.0|6150.0||35108.0|2105.0||58106.0||||746478.0|||||||227011.0||||15325.0|102690.0|8899.0||||||10.0|98973.0|602.0|||||||||||0.0|14025.0|||||0.0|35108.0||||||
||2008|1308973.0|4843112.0|126077.0|327745.0|2443951.0|131245.0|72170.0||||||3070.0||138590.0|118.0|281750.0|7765.0|12180.0|750.0||120.0|1580.0||3600.0|252.0||||550.0|1850.0|139653.0|9644.0||34821.0|16837.0||70850.0||||890224.0|||||||153123.0||||22680.0|171478.0|8839.0||||||13.0|104600.0|350.0||||||||||||10600.0|||||0.0|34821.0||||||
||2009|1644083.0|4630171.0|131378.0|421865.0|2652794.0|168915.0|68785.0||||||5930.0||162680.0|70.0|244640.0|8700.0|19545.0|1100.0||440.0|880.0|20.0|3600.0|255.0||||577.0|1890.0|172606.0|8622.0||74549.0|41487.0||87470.0||||859923.0|||||||83615.0||||17500.0|223001.0|21686.0||||||10.0|100210.0|288.0||||||||||||14670.0||||||74549.0||||||
