|||Sütunlar|||||
Satırlar||||||||
||||||||
|||Meyveler, İçecek Ve Baharat Bitkileri Alanı - Dekar|Nadas Alanı - Dekar|Sebze Alanı - Dekar|Süs Bitkileri Alanı - Dekar|Tahıllar Ve Diğer Bitkisel Ürünlerin Alanı - Dekar|
||2012|701535.0|422591.0|471602.0|5200.7|2080859.0|
||2013|712197.0|382196.0|469056.0|5636.9|2078252.0|
||2014|726296.0|392489.0|479866.0|5687.3|2062215.0|
||2015|739474.0|390870.0|490730.0|5509.5|2044376.0|
||2016|747868.0|543762.0|506674.0|5506.0|1846305.0|
||2017|758497.0|521596.0|510985.0|5497.5|1801839.0|
||2018|771375.0|506462.0|508418.0|5959.1|1808837.0|
||2019|797144.0|523771.0|501165.0|5943.6|1789946.0|
||2020|821731.0|516007.0|502804.0|5891.2|1802797.0|
||2021|851159.0|395080.0|493193.0|6069.5|1810922.0|
|Ardahan-75|2004|1570.0|13500.0|1990.0|0.0|424300.0|
||2005|1570.0|12500.0|1240.0|0.0|406970.0|
||2006|1650.0|12500.0|1770.0|0.0|401286.0|
||2007|1650.0|99046.0|281.0|0.0|610534.0|
||2008|1592.0|103679.0|280.0|0.0|591874.0|
||2009|722.0|102412.0|250.0|0.0|609231.0|
||2010|692.0|14427.0|99.0|0.0|383675.0|
||2011|672.0|3385.0|27.0|0.0|569081.0|
||2012|639.0|57179.0|140.0|0.0|665103.0|
||2013|687.0|45631.0|110.0|0.0|542204.0|
||2014|770.0|91481.0|120.0|0.0|237154.0|
||2015|538.0|89631.0|92.0|0.0|225414.0|
||2016|528.0|40224.0|81.0|0.0|240991.0|
||2017|592.0|89124.0|160.0|0.0|270929.0|
||2018|593.0|50333.0|111.0|0.0|338456.0|
||2019|472.0|41526.0|111.0|0.0|367013.0|
||2020|502.0|13709.0|90.0|0.0|413683.0|
||2021|831.0|1617.0|133.0|0.0|722483.0|
|Artvin-8|2004|163900.0|30620.0|14600.0|0.0|117480.0|
||2005|207250.0|31300.0|14600.0|0.0|144660.0|
||2006|237048.0|20.0|15710.0|0.0|149601.0|
||2007|237003.0|2020.0|13889.0|0.0|135641.0|
||2008|243622.0|4124.0|18958.0|0.0|149050.0|
||2009|207665.0|2124.0|12401.0|0.0|78988.0|
||2010|221824.0|4471.0|20735.0|0.0|119302.0|
||2011|215155.0|31431.0|14807.0|27.0|104390.0|
||2012|215613.0|61100.0|14667.0|0.0|96372.0|
||2013|190724.0|64579.0|10857.0|0.0|76861.0|
||2014|191096.0|54766.0|10137.0|0.0|78463.0|
||2015|190211.0|63880.0|9254.0|0.0|56315.0|
||2016|190976.0|52007.0|9450.0|0.0|55162.0|
||2017|192881.0|40000.0|9803.0|0.0|54237.0|
||2018|193665.0|45000.0|9906.0|0.0|51244.0|
||2019|196762.0|40000.0|10519.0|0.0|53185.0|
||2020|189467.0|42350.0|11489.0|0.0|50232.0|
||2021|189925.0|43630.0|11652.0|0.0|55196.0|
|Aydın-9|2004|2141950.0|26360.0|195270.0|0.0|1536810.0|
||2005|2157080.0|37060.0|181770.0|0.0|1606700.0|
||2006|2187000.0|6213.0|154847.0|0.0|1607045.0|
||2007|2150814.0|19900.0|114057.0|0.0|1555659.0|
||2008|2092579.0|19616.0|108391.0|0.0|1571694.0|
||2009|2108513.0|22642.0|117511.0|0.0|1657419.0|
||2010|2107783.0|25518.0|115893.0|0.0|1505834.0|
||2011|2125952.0|27415.0|114539.0|66.5|1258272.0|
||2012|2155207.0|35569.0|111290.0|79.1|1329674.0|
||2013|2166574.0|39293.0|115955.0|100.3|1360727.0|
||2014|2155439.0|32917.0|109073.0|88.8|1404898.0|
||2015|2156419.0|36463.0|108173.0|101.6|1380922.0|
||2016|2163581.0|33339.0|107406.0|259.1|1344690.0|
||2017|2143716.0|27737.0|106386.0|312.8|1387929.0|
||2018|2154273.0|22760.0|96999.0|312.8|1291321.0|
||2019|2158100.0|21665.0|97078.0|332.7|1248406.0|
||2020|2158636.0|22441.0|99268.0|337.8|1254407.0|
||2021|2163837.0|22737.0|81707.0|294.5|1323364.0|
|Balıkesir-10|2004|920480.0|80810.0|420030.0|0.0|3102210.0|
||2005|886570.0|33960.0|385270.0|0.0|3210200.0|
||2006|854661.0|32140.0|344490.0|0.0|3047708.0|
||2007|902354.0|28940.0|346182.0|0.0|2965713.0|
||2008|906354.0|33905.0|346605.0|0.0|2965563.0|
||2009|909988.0|39470.0|337248.0|0.0|2930679.0|
||2010|912945.0|153403.0|311825.0|0.0|2712420.0|
||2011|923176.0|139188.0|309111.0|440.9|2606593.0|
||2012|932300.0|147297.0|310062.0|427.9|3031338.8|
||2013|944358.0|147545.0|306994.0|475.8|2839943.0|
||2014|950882.0|186236.0|293686.0|492.6|2776289.0|
||2015|942383.0|191066.0|285993.0|493.6|2691293.0|
||2016|941187.0|204021.0|276883.0|495.7|2708666.0|
||2017|935935.0|194662.0|256928.0|495.7|2683242.0|
||2018|950777.0|188981.0|253475.0|530.7|2542592.0|
||2019|953852.0|191945.0|265662.0|434.7|2468355.0|
||2020|970024.0|159035.0|264562.0|461.5|2508453.0|
||2021|973554.0|180085.0|211858.0|491.5|2545419.0|
|Bartın-74|2004|42320.0|39200.0|15780.0|0.0|366110.0|
||2005|44010.0|39200.0|16910.0|0.0|423580.0|
||2006|51583.0|29195.0|17332.0|0.0|402925.0|
||2007|50841.0|27100.0|16518.0|0.0|392877.0|
||2008|51955.0|27100.0|16231.0|0.0|403953.0|
||2009|52176.0|27100.0|16319.0|0.0|403040.0|
||2010|44707.0|27100.0|16489.0|0.0|411045.0|
||2011|54523.0|27025.0|16461.0|0.0|385229.0|
||2012|54732.0|10801.0|17642.0|2.0|379643.0|
||2013|73672.0|0.0|17412.0|3.0|363757.0|
||2014|73763.0|0.0|17440.0|3.0|353979.0|
||2015|73604.0|0.0|17385.0|0.0|298078.0|
||2016|73006.0|0.0|17414.0|3.0|304766.0|
||2017|72751.0|0.0|17386.0|3.0|302119.0|
||2018|75492.0|0.0|17397.0|5.0|297010.0|
||2019|75690.0|0.0|17507.0|5.0|293933.0|
||2020|76085.0|0.0|17696.0|5.0|293851.0|
||2021|77410.0|0.0|17690.0|0.0|297466.0|
|Batman-72|2004|51170.0|40000.0|41600.0|0.0|1071030.0|
||2005|49020.0|70000.0|51400.0|0.0|1185260.0|
||2006|48787.0|96085.0|74100.0|0.0|1172560.0|
||2007|59075.0|72781.0|55593.0|0.0|966736.0|
||2008|69682.0|104031.0|51485.0|0.0|862228.0|
||2009|67187.0|66500.0|10526.0|0.0|974487.0|
||2010|91398.0|21578.0|34561.0|0.0|1107835.0|
||2011|109277.0|15050.0|38058.0|0.0|1127336.0|
||2012|116313.0|11080.0|31210.0|0.0|1084037.0|
||2013|100884.0|8531.0|48498.0|0.0|1019667.0|
||2014|101954.0|7655.0|42949.0|0.0|998953.0|
||2015|94302.0|9355.0|31523.0|0.0|985294.0|
||2016|97506.0|3742.0|29453.0|0.0|885177.0|
||2017|112982.0|3905.0|29176.0|0.0|765046.0|
||2018|122079.0|2947.0|30597.0|0.0|782132.0|
||2019|147275.0|2535.0|28556.0|0.0|740883.0|
||2020|161981.0|2271.0|28075.0|0.0|750824.0|
||2021|174027.0|1743.0|27833.0|0.0|728009.0|
|Bayburt-69|2004|760.0|370730.0|1310.0|0.0|587170.0|
||2005|940.0|370730.0|1600.0|0.0|604280.0|
||2006|1435.0|329900.0|1664.0|0.0|669827.0|
||2007|1860.0|331530.0|1849.0|0.0|792167.0|
||2008|1860.0|331530.0|1772.0|0.0|607505.0|
||2009|1983.0|32295.0|1400.0|0.0|610962.0|
||2010|1608.0|41750.0|1666.0|0.0|622829.0|
||2011|443.0|192885.0|1640.0|0.0|608150.0|
||2012|517.0|243140.0|1474.0|0.0|653827.0|
||2013|546.0|342848.0|6425.0|0.0|733041.0|
||2014|544.0|232966.0|6314.0|0.0|793855.0|
||2015|535.0|229388.0|6358.0|0.0|818584.0|
||2016|535.0|190956.0|6374.0|0.0|845937.0|
||2017|418.0|200084.0|1953.0|0.0|722685.0|
||2018|1320.0|111629.0|2374.0|0.0|856536.0|
||2019|1565.0|114644.0|2735.0|0.0|853445.0|
||2020|1565.0|114789.0|2762.0|0.0|852576.0|
||2021|1700.0|94440.0|2693.0|0.0|1044512.0|
|Bilecik-11|2004|118290.0|142910.0|93520.0|0.0|669920.0|
||2005|122710.0|134620.0|96050.0|0.0|657950.0|
||2006|110770.0|132050.0|88924.0|0.0|633259.0|
||2007|111024.0|128770.0|75007.0|0.0|578868.0|
||2008|113176.0|130039.0|78783.0|0.0|564804.0|
||2009|114447.0|135013.0|79130.0|0.0|556043.0|
||2010|110140.0|128332.0|77013.0|0.0|514353.0|
||2011|111453.0|146246.0|78208.0|0.0|513043.0|
||2012|114910.0|143227.0|78240.0|0.0|529176.0|
||2013|115900.0|151422.0|78787.0|0.0|533402.0|
||2014|114538.0|116128.0|77697.0|0.0|508658.0|
||2015|113842.0|123302.0|67606.0|0.0|523555.0|
||2016|145829.0|117046.0|68908.0|0.0|520020.0|
||2017|140371.0|114762.0|67477.0|0.0|507091.0|
||2018|140770.0|117709.0|66191.0|0.0|500722.0|
||2019|139568.0|116644.0|60189.0|0.0|504934.0|
||2020|138401.0|98670.0|58756.0|0.0|522538.0|
||2021|142146.0|99057.0|59717.0|0.0|536815.0|
|Bingöl-12|2004|12970.0|70460.0|15920.0|0.0|288180.0|
||2005|13420.0|67950.0|16540.0|0.0|295990.0|
||2006|7450.0|183792.0|6362.0|0.0|216095.0|
||2007|20796.0|108397.0|33145.0|0.0|251450.0|
||2008|27041.0|93721.0|16147.0|0.0|243542.0|
||2009|28311.0|87100.0|14844.0|0.0|247024.0|
||2010|28753.0|75150.0|15092.0|0.0|236664.0|
||2011|30503.0|80425.0|14440.0|0.0|225150.0|
||2012|31762.0|70237.0|15013.0|0.0|233504.0|
||2013|34226.0|63818.0|15720.0|0.0|231507.0|
||2014|35815.0|80722.0|11835.0|0.0|231246.0|
||2015|35127.0|83226.0|12489.0|0.0|223931.0|
||2016|34727.0|72091.0|11730.0|0.0|200880.0|
||2017|35459.0|69122.0|11817.0|0.0|183997.0|
||2018|33210.0|71064.0|11919.0|0.0|186695.0|
||2019|33851.0|72429.0|11752.0|0.0|199688.0|
||2020|30549.0|58780.0|11350.0|0.0|199001.0|
||2021|29912.0|57935.0|11199.0|0.0|195857.0|
|Bitlis-13|2004|19390.0|660520.0|8880.0|0.0|837500.0|
||2005|17570.0|619700.0|9340.0|0.0|799670.0|
||2006|14688.0|248300.0|8244.0|0.0|733595.0|
||2007|17797.0|400270.0|6547.0|0.0|781444.0|
||2008|18016.0|395630.0|7554.0|0.0|786384.0|
||2009|18596.0|354750.0|7937.0|0.0|776023.0|
||2010|19271.0|144680.0|6756.0|0.0|826542.0|
||2011|22017.0|46500.0|7407.0|0.0|829463.0|
||2012|30548.0|95000.0|10402.0|0.0|860207.1|
||2013|42779.0|181731.0|17237.0|0.0|1087061.0|
||2014|43904.0|167000.0|22692.0|0.0|1148512.0|
