||2015||244.0|489.0||271.0||299.0||||||||156.0||167.0|||||||||||||256.0||229.0|200.0|||||1809.0|1256.0|||||||||||682.0||||1787.0|854.0||844.0|4000.0|800.0||1035.0|2707.0|||||||500.0||133.0|||||||||||||||
||2016||243.0|539.0||251.0||288.0||||||420.0||141.0||170.0|||||||||||||346.0||217.0|200.0|||||1837.0|1350.0|||||||||||659.0|800.0|||1801.0|855.0||843.0|4000.0|800.0||930.0|3290.0|||||||500.0||133.0|||||||||||||||
||2017||227.0|511.0||318.0||309.0||||||336.0||159.0||140.0|||||||||||||||267.0|200.0|||||2119.0|1000.0|||||||||||745.0|887.0|||1775.0|865.0||863.0|4000.0|800.0||963.0|2833.0|||300.0||||308.0||289.0|||||||||||||||
||2018||219.0|475.0||269.0||310.0||||||337.0||155.0||133.0|||||||||||||||259.0|200.0|||||2388.0|1000.0|||||||||||685.0|889.0|||1775.0|868.0||876.0|4000.0|800.0||980.0|3304.0|||||||312.0||348.0||||||||||||0.0|||
||2019||222.0|410.0||260.0||314.0||||||309.0||149.0||119.0|||||||||||||||264.0|194.0|||||2461.0|1000.0|||||||||||679.0|871.0|||1774.0|867.0||878.0|4000.0|735.0||1038.0|2946.0|||||||318.0||348.0||||||||||||71.0|||
||2020||203.0|625.0||226.0||312.0||||||313.0||154.0||93.0|||||||||||||||280.0||||||2317.0|1000.0|||||||||||724.0|1212.0|||1774.0|936.0||1018.0|4000.0|850.0||1246.0|3343.0|||||||300.0||283.0|||||||||||||||
||2021||201.0|476.0||253.0||313.0||||||320.0||161.0||100.0|||||||||||||||286.0||||||2326.0|1000.0|||||||||||701.0|1208.0|||1711.0|917.0||1069.0|4000.0|850.0||1339.0|3395.0|||||||300.0||383.0|||||||||||||||
|Konya-42|2004|248.0|193.0|666.0|242.0|244.0|166.0|154.0||||||207.0||208.0||108.0|173.0|76.0|293.0||86.0|119.0||81.0|310.0|||||47.0|127.0|122.0||64.0|50.0||2412.0||||4973.0||||||||||||||||||||4692.0||||||||||||156.0||||||58.0||||||
||2005|218.0|173.0|760.0|200.0|225.0|168.0|126.0||||||218.0||209.0||113.0|171.0|69.0|295.0||67.0|95.0||80.0|300.0|||||45.0|143.0|169.0||67.0|||2479.0||||5212.0||||||||||||||||||||4247.0|4742.0|||||||||||138.0||||||61.0||||||
||2006|249.0|248.0|651.0|258.0|287.0|171.0|129.0||||||276.0||187.0|77.0|113.0|177.0|87.0|344.0||179.0|85.0||80.0|280.0||||200.0|50.0|201.0|160.0||85.0|||2513.0||||5394.0||||||||||||||||||||4064.0|4262.0|||||||||||126.0||||||77.0||||||
||2007|184.0|159.0|632.0|149.0|192.0|162.0|138.0||||||239.0||161.0|164.0|103.0|155.0|69.0|150.0||98.0|53.0||80.0|213.0||||221.0|30.0|193.0|104.0||41.0|98.0||2642.0||||4814.0|||||||||||||||||||3000.0|4407.0|4291.0|||||||||||96.0||||||37.0||||||
||2008|239.0|160.0|637.0|139.0|192.0|160.0|141.0||||||244.0||192.0|161.0|110.0|189.0|74.0|433.0||125.0|103.0||80.0|238.0||||207.0|35.0|180.0|99.0||67.0|106.0||3134.0||||5308.0|||||||||||||||||||3000.0|4382.0|4571.0|||||||||||123.0||||||61.0||||||
||2009|301.0|260.0|793.0|272.0|273.0|214.0|203.0||||||352.0||316.0|200.0|142.0|200.0|137.0|368.0||93.0|173.0|150.0|99.0|169.0||||272.0|39.0|233.0|134.0||101.0|148.0||3611.0||||6146.0|||||||||||||||||||3000.0|4483.0|5198.0|||||||||||234.0||||||91.0||||||
||2010|243.0|217.0|668.0|241.0|219.0|280.0|224.0|598.0|||||332.0||340.0||137.0|208.0|137.0|400.0||79.0|124.0||100.0|261.0||||229.0|30.0|200.0|207.0||85.0|265.0||3740.0||||6384.0|||||||1403.0||||523.0|4861.0|1493.0|||||||4442.0|6864.0|||||||||||137.0||||||78.0||||||
||2011|342.0|335.0|692.0|331.0|357.0|356.0|254.0|595.0|||||396.0||364.0||127.0|267.0|168.0|400.0||79.0|136.0||109.0|320.0||||299.0|57.0|296.0|242.0||92.0|217.0||3960.0||||6665.0|||||||1627.0||||864.0|5392.0|1537.0|||||||4925.0|6958.0|||||||||||141.0||||||83.0||||||
||2012|268.0|257.0|816.0|301.0|252.0|313.0|245.0||||||390.0||350.0||139.0|144.0|169.0|300.0||74.0|108.0||92.0|281.0||||245.0|38.0|354.0|269.0||42.0|125.0||3400.0||||6400.0|||||||1110.0||||528.0|5159.0|1118.0|||3487.0|356.0|1250.0||5327.0|4858.0|5017.0||||||||||95.0||||||38.0||||||
||2013|323.0|324.0|1036.0|356.0|330.0|323.0|236.0||||200.0||380.0||366.0||143.0|149.0|122.0|339.0||76.0|120.0||109.0|320.0||||328.0|43.0|391.0|255.0||72.0|124.0||3898.0||||6641.0|||||||1288.0||||764.0|5574.0|1318.0|||4305.0||||5434.0|5662.0|6649.0||||||||||113.0||||||72.0||||||
||2014|276.0|263.0|1027.0|326.0|280.0|350.0|211.0||||186.0||358.0||376.0||134.0|167.0|126.0|326.0||75.0|120.0||109.0|403.0||||357.0|33.0|443.0|242.0||70.0|115.0||4199.0||||6689.0||||||||1008.0|1588.0|399.0|373.0|4922.0|1331.0|||4455.0||||5568.0|5249.0|6414.0|||||||1545.0|211.0|91.0||127.0|66.0|||16.0|70.0||||||
