||2021|24759.0|25184.0|3361.0||12412.0||||||||||||983.0|2520.0||108.0||||||||1341.0|||28.0||||||||||||||2236.0|828.0||||||2383.0||1600.0||||||||94007.0|||||||||||||||||||||||||
|Kocaeli-41|2004||76334.0|31002.0||21317.0||30377.0|3.0|||||||173.0||28.0||||||||||||30.0|||1220.0||||||2448.0||||2620.0||11.0|||8.0||6463.0|||||251.0|0.0||||||259.0|72076.0|||||||||||||||||||||||||
||2005|7398.0|71734.0|37488.0||22494.0||27582.0|3.0|||||25.0||378.0||30.0||10.0||||||||||26.0|||1053.0||||||2325.0||||1970.0||10.0|||6.0||0.0|||||39300.0|25.0||||||676.0|81065.0|||||||||||||||||||||||||
||2006|5696.0|65703.0|37995.0||21805.0||24870.0||||||13.0||417.0||26.0||||||||||||36.0|2.0||1269.0||||||1233.0|606.0|||2133.0||3.0|||8.0||750.0|||||300.0|0.0||||||515.0|68844.0|||||||||||||||||||||||||
||2007|4948.0|68463.0|48429.0||26820.0||25910.0||||||68.0||464.0||37.0||||||||||||4.0|||1097.0|71.0|||||1323.0|58.0|||3549.0||2.0|||5.0||750.0|||||1860.0|93.0||||||596.0|92540.0|||||||||||||||||||||||||
||2008|5777.0|72092.0|54991.0||24364.0||26295.0||||||16.0||427.0||30.0||||||||||||1.0|||1036.0|76.0|||||1264.0|58.0|||2001.0|||||1.0||750.0|||||1860.0|93.0||||||519.0|97257.0|||||||||||||||||||||||||
||2009|3378.0|55207.0|59225.0||18319.0||24820.0||||||23.0||394.0||32.0||||||||||||1.0|||1179.0|60.0|||||1386.0|170.0|||489.0|||||1.0||7251.0|||||10960.0|771.0||||||522.0|91257.0|||||||||||||||||||||||||
||2010|2871.0|52128.0|56655.0||19458.0||25029.0||||||23.0||451.0||39.0|||||||||||||||1334.0|60.0|||||1216.0|162.0|||1107.0|||||||71402.0|||||64288.0|657.0||||||536.0|104208.0|||||||||||||||||||||||||
||2011|2909.0|46779.0|41297.0||18574.0||23861.0||||||17.0||414.0||46.0|||||||||||||||1614.0|59.0|||||931.0|163.0|||166.0|||||||75856.0|||||15683.0|653.0||||||406.0|106700.0|||||||||||||||||||||||||
||2012|0.0|52406.0|25688.0||20733.0|0.0|21603.0||||||10.0||230.0||30.0|||||||||||||0.0||1486.0|6.0|||||592.0|163.0|||174.0|||||||60995.0|||||15225.0|553.0||35892.0|27.0|200.0||421.0|130201.0|||||||500.0||||||||||||||||||
||2013||72719.0|33041.0||20985.0||17865.0||||||||223.0||26.0|||||||||||||||1244.0|6.0|||||452.0|159.0||||||||||60737.0|||||52346.0|2101.0||50884.0|200.0|167.0||386.0|133052.0|||||||1000.0||||||||||||||||||
||2014||60333.0|24670.0||21245.0||16802.0||||||||149.0||35.0|||||||||||||78.0||1228.0|6.0|||||409.0|158.0|||||||||||42019.0||||52682.0|1276.0||52211.0|200.0|120.0||1907.0|133902.0|||||||500.0||2.0||||||||||||||||
||2015||54868.0|17123.0||20739.0||15100.0||||||||127.0||25.0|||||||||||||77.0||1040.0|6.0|||||255.0|113.0|||||||||||33598.0||||55025.0|1293.0||59397.0|160.0|120.0||1227.0|135137.0|||||||500.0||2.0||||||||||||||||
||2016||54608.0|19349.0||19351.0||14073.0||||||311.0||110.0||17.0|||||||||||||104.0||967.0|6.0|||||226.0|54.0|||||||||||28523.0|24.0|||55045.0|1367.0||58089.0|160.0|80.0||828.0|166349.0|||||||250.0||2.0||||||||||||||||
||2017||54258.0|12410.0||24430.0||21907.0||||||538.0||111.0||21.0|||||||||||||||2113.0|6.0|||||214.0|40.0|||||||||||24471.0|204.0|||49327.0|1532.0||61272.0|136.0|80.0||811.0|158301.0|||39000.0||||3850.0||13.0||||||||||||||||
||2018||44939.0|12327.0||19682.0||14186.0||||||554.0||108.0||20.0|||||||||||||||1262.0|6.0|||||191.0|40.0|||||||||||23335.0|200.0|||49419.0|1573.0||63369.0|136.0|80.0||853.0|185379.0|||||||2650.0||1758.0|||||||||||||0.0|||
||2019||46190.0|10157.0||19921.0||14483.0||||||408.0||102.0||15.0|||||||||||||||1385.0|7.0|||||187.0|40.0|||||||||||23178.0|202.0|||49475.0|1563.0||64073.0|132.0|338.0||965.0|164797.0|||||||1750.0||1758.0|||||||||||||1.0|||
||2020||42616.0|15996.0||17433.0||14776.0||||||376.0||91.0||10.0|||||||||||||||2342.0||||||241.0|45.0|||||||||||24710.0|521.0|||50067.0|1584.0||80000.0|120.0|255.0||1105.0|193259.0|||||||1200.0||2690.0||||||||||||||||
||2021||42429.0|12695.0||20838.0||14300.0||||||384.0||88.0||15.0|||||||||||||||2619.0||||||214.0|45.0|||||||||||23193.0|522.0|||53368.0|1505.0||84745.0|100.0|272.0||1273.0|202651.0|||||||1200.0||3520.0||||||||||||||||
|Konya-42|2004|622539.0|875030.0|76547.0|165262.0|774695.0|34099.0|39312.0||||||3283.0||29681.0||53906.0|2294.0|5417.0|1466.0||6.0|966.0||382.0|31.0|||||147.0|7488.0|5139.0||2377.0|10.0||134416.0||||2754248.0|||||||10356.0||||58.0|374571.0|4454.0|||||||232614.0|||||||||||||5645.0|||||470.0|2162.0||||||
||2005|520453.0|823524.0|78199.0|145494.0|731333.0|33178.0|30340.0||||||1477.0||29693.0||55957.0|2177.0|4174.0|1867.0||2.0|728.0||376.0|30.0|||||133.0|7700.0|4884.0||2227.0|||145575.0||||3832166.0|||||||21373.0||||657.0|517832.0|5740.0|||||||283678.0|2940.0||||||||||||4413.0|||||824.0|2024.0||||||
||2006|484643.0|1101390.0|51577.0|177496.0|948673.0|36396.0|31386.0||||||934.0||27830.0|3.0|52642.0|1616.0|4308.0|1788.0||5.0|610.0||368.0|28.0||||2.0|136.0|13120.0|3805.0||4919.0|||151263.0||||3890397.0|||||||52110.0||||169.0|423502.0|3894.0|||||||401126.0|1300.0||||||||||||4156.0|||||756.0|4472.0||||||
||2007|251202.0|775363.0|57902.0|80843.0|525787.0|24931.0|9733.0||||||811.0||21072.0|19.0|29582.0|1296.0|1130.0|15.0||4.0|14.0||287.0|17.0||||96.0|110.0|36615.0|638.0||1445.0|206.0||153516.0||||3593540.0|||||||49648.0||||3193.0|226195.0|6888.0||||||30.0|436200.0|2583.0|||||||||||30.0|1348.0|||||50.0|1315.0||||||
||2008|312621.0|777161.0|80307.0|45671.0|469830.0|21011.0|10144.0||||||750.0||26591.0|19.0|31028.0|1467.0|900.0|325.0||15.0|163.0||288.0|60.0||||114.0|65.0|25080.0|955.0||2317.0|1781.0||222075.0||||4725606.0|||||||63000.0||||3844.0|224585.0|18297.0||||||39.0|458360.0|1600.0||||||||||||1306.0|||||5.0|2107.0||||||
||2009|494546.0|1201619.0|104129.0|114734.0|723762.0|36178.0|13940.0||||||2085.0||51477.0|14.0|34807.0|1741.0|2687.0|405.0||41.0|152.0|3.0|358.0|43.0||||157.0|74.0|40207.0|1156.0||7495.0|6127.0||315825.0||||5284787.0|||||||37918.0||||4920.0|215266.0|22085.0||||||30.0|449230.0|1497.0||||||||||||3429.0||||||6813.0||||||
