|||Sütunlar|||||
Satırlar||||||||
||||||||
|||Meyveler, İçecek Ve Baharat Bitkileri Alanı - Dekar|Nadas Alanı - Dekar|Sebze Alanı - Dekar|Süs Bitkileri Alanı - Dekar|Tahıllar Ve Diğer Bitkisel Ürünlerin Alanı - Dekar|
||2017|9537.0|28745.0|892.0|0.0|10774.0|
||2018|9261.0|28768.0|900.0|0.0|10693.0|
||2019|9261.0|29097.0|900.0|0.0|10220.0|
||2020|9013.0|29384.0|878.0|0.0|8973.0|
||2021|9013.0|29384.0|875.0|0.0|8879.0|
|Konya(Tuzlukçu)-1990|2015|3741.0|138345.0|615.0|0.0|245250.0|
||2016|4583.0|146569.0|580.0|0.0|256495.0|
||2017|8090.0|91984.0|2500.0|0.0|258786.0|
||2018|6325.0|91158.0|2650.0|0.0|269263.0|
||2019|8199.0|107459.0|2590.0|0.0|258243.0|
||2020|4736.0|93711.0|2280.0|0.0|280424.0|
||2021|3920.0|80340.0|2150.0|0.0|287462.0|
|Konya(Yalıhüyük)-1994|2015|3482.0|6600.0|0.0|0.0|30700.0|
||2016|3461.0|6607.0|0.0|0.0|30906.0|
||2017|3477.0|6202.0|0.0|0.0|29815.0|
||2018|3448.0|6200.0|0.0|0.0|31107.0|
||2019|3485.0|6340.0|0.0|0.0|29966.0|
||2020|2958.0|6000.0|0.0|0.0|30934.0|
||2021|2685.0|6400.0|0.0|0.0|29987.0|
|Konya(Yunak)-1735|2015|14195.0|399073.0|2200.0|0.0|824960.0|
||2016|13767.0|416038.0|1350.0|0.0|839646.0|
||2017|13344.0|351303.0|1310.0|0.0|860169.0|
||2018|13372.0|297300.0|1315.0|0.0|897116.0|
||2019|55974.0|110481.0|2555.0|0.0|1061800.0|
||2020|13362.0|21886.0|3280.0|0.0|831044.0|
||2021|7097.0|30000.0|3960.0|0.0|927492.0|
||||||||
