|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
||2018||200.0|8603.0|360.0|150.0||1000.0||||4000.0|23000.0||||510.0|2500.0|4000.0|10000.0|5800.0||8000.0||1000.0||||60.0|||10000.0|
||2019||220.0|10771.0|1000.0|150.0||1000.0||||6000.0|25000.0||||500.0|4000.0|4800.0|17000.0|7000.0||7000.0||500.0||||58.0|1500.0||9500.0|
||2020||500.0|10286.0|1250.0|500.0||1000.0||||6000.0|25000.0||||550.0|4000.0|4700.0|32000.0|23700.0||8100.0||1000.0||||200.0|4200.0||18000.0|
||2021||500.0|10800.0|2600.0|500.0||1000.0||||9000.0|25000.0||||916.0|6000.0|8100.0|25000.0|29800.0||8400.0||500.0|2000.0||550.0|215.0|6500.0||25000.0|
|Verim ve Birinci Ekiliş ve 01.11.20.00.00. (Mısır) - Kg/Dekar|2015||957.0||1037.0|||1037.0|||640.0|997.0|957.0|478.0|333.0|||633.0|1316.0|1077.0|838.0||798.0|1030.0|957.0||667.0|400.0||1316.0|534.0|957.0|
||2016||787.0||1024.0|||984.0|||593.0|906.0|1024.0|867.0|333.0|||519.0|1339.0|1102.0|787.0|1025.0|709.0|1102.0|866.0|611.0|400.0|394.0||1181.0|945.0|866.0|
||2017||924.0||1155.0||1000.0|963.0|||435.0|1001.0|1001.0|847.0||||772.0|1309.0|1078.0|924.0|1001.0|847.0|963.0|1155.0|924.0|250.0|771.0||916.0|732.0|770.0|
||2018||941.0|782.0|1176.0|628.0|769.0|980.0|||432.0|1019.0|1019.0|1333.0|||619.0|784.0|1333.0|1098.0|1098.0|1097.0|941.0|1333.0|1176.0|1098.0|333.0|784.0||933.0|941.0|862.0|
||2019||937.0|742.0|1171.0|508.0|786.0|976.0|786.0||327.0|1054.0|1054.0|1015.0||703.0||611.0|1171.0|1093.0|1093.0|937.0|765.0|1327.0|917.0|1171.0|500.0|730.0||726.0|859.0|1171.0|
||2020||1200.0|656.0|1169.0||600.0|999.0|||613.0|1079.0|1079.0|959.0||663.0||920.0|1171.0|963.0|938.0|749.0|1189.0|1180.0|879.0|959.0||800.0||1199.0|1081.0|1020.0|
||2021||1082.0|524.0|1117.0||565.0|873.0|||567.0|838.0|942.0|1117.0||511.0||838.0|1047.0|977.0|1047.0|1047.0|970.0|1117.0|768.0|838.0||1082.0||1117.0|1047.0|1045.0|
|Verim ve Birinci Ekiliş ve 01.11.94.00.00. (Susam Tohumu) - Kg/Dekar|2015||30.0||||||||||||||||||||30.0|||||||||60.0|
||2016||30.0||||||||||||||||||||30.0|||||||||60.0|
||2017||35.0||||||||||||||||||||35.0|||||||||60.0|
||2018||40.0||||||||||||||||||||35.0|||||||||60.0|
||2019||40.0||||||||||||||||||||40.0|||||||||60.0|
||2020||40.0||||||||||||||||||||40.0||0.0|100.0||||||60.0|
||2021||35.0||||||||||||||||||||35.0|||100.0||||||50.0|
|Verim ve Birinci Ekiliş ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Kg/Dekar|2015|2959.0|2959.0|2961.0|3946.0|3946.0|1727.0|3749.0|2467.0|1500.0|3944.0||3946.0|2962.0||3926.0|3703.0|2959.0|4932.0|4440.0|5184.0||2960.0|3946.0|4932.0|2269.0|1975.0|3355.0||3453.0|3946.0|3946.0|
||2016||2886.0|2790.0|3846.0|3846.0|1683.0|4807.0|2404.0|1435.0|3845.0||3846.0|2844.0||3859.0|3604.0|2884.0|4808.0|4327.0|4885.0|1926.0|2885.0|4038.0|4806.0|3846.0|1903.0|3844.0||3846.0|3846.0|3846.0|
||2017||2878.0|2687.0|3838.0|3838.0|1679.0|4798.0|2399.0|1440.0|3726.0||3838.0|2398.0||3840.0|3838.0|2879.0|4798.0|4318.0|4798.0|2111.0|2879.0|4030.0|4798.0|4318.0|1800.0|3839.0||3694.0|3694.0|3646.0|
||2018||2908.0|2811.0|4361.0|3877.0|1696.0|4846.0|2423.0|1440.0|3605.0||3877.0|2420.0||3880.0|3683.0|2908.0|4846.0|4361.0|4652.0||2908.0|4361.0|4847.0|4361.0|1775.0|3973.0||3731.0|3392.0|3683.0|
||2019||3000.0|2898.0|4000.0|4000.0|1750.0|5000.0|2500.0|1520.0|3600.0|7000.0|4000.0|3000.0||4000.0|3600.0|2900.0|4900.0|4500.0|4800.0||2900.0|4500.0|4799.0|4500.0|1775.0|4350.0||3000.0|3000.0|4000.0|
||2020||2831.0|2830.0|4719.0|3776.0|1888.0|4719.0|2360.0|1400.0|3303.0|5664.0|3775.0|3024.0||3780.0|3408.0|2737.0|4719.0|4247.0|4531.0||3587.0|4247.0|3775.0|4247.0|1473.0|4719.0||2832.0|3398.0|4719.0|
||2021||2943.0|2947.0|4906.0|3925.0|1962.0|4906.0|1766.0|1480.0|2944.0|4906.0|3925.0|3143.0|1500.0|3920.0|3925.0|2747.0|4906.0|4415.0|4415.0||3729.0|4514.0|3925.0|3434.0|1472.0|4710.0||4906.0|3925.0|4514.0|
|Verim ve Birinci Ekiliş ve 01.19.10.20.00. (Mısır (Slaj)) - Kg/Dekar|2015||6000.0|4200.0|6500.0|5000.0||5000.0|5000.0|3500.0|5500.0|6000.0|5500.0|5000.0||5000.0||6500.0|5000.0|8000.0|6100.0|6000.0|7000.0|6000.0|6500.0|5000.0||5200.0||6500.0|8000.0|8000.0|
||2016||6000.0|4200.0|6500.0|5000.0||5000.0|5000.0|4000.0|5500.0|6500.0|6000.0|5000.0||5000.0||6500.0|5000.0|8000.0|5800.0|5501.0|7000.0|6000.0|6000.0|5000.0||6000.0||6750.0|7000.0|8000.0|
||2017||6000.0|6000.0|6500.0|5000.0||5000.0|5000.0|4000.0|5500.0|6500.0|6000.0|5000.0||5000.0||6500.0|6000.0|8000.0|6300.0|5500.0|7200.0|6000.0|6000.0|5000.0||6000.0||6750.0|7000.0|8000.0|
||2018||6000.0|3900.0|6500.0|5000.0||5000.0|5000.0|4000.0|5500.0|6500.0|6000.0|5000.0||5000.0||6500.0|6000.0|8000.0|6300.0|8500.0|7200.0|6000.0|6000.0|5000.0||6200.0||6750.0|6000.0|8000.0|
