|||Sütunlar||||||||||||||||||
Satırlar|||||||||||||||||||||
|||||||||||||||||||||
|||01.41.20.01.01. (Sığır Sütü (Kültür) (Manda Sütü Hariç)) ve Ton|01.41.20.01.02. (Sığır Sütü (Kültür Melezi) (Manda Sütü Hariç)) ve Ton|01.41.20.01.03. (Sığır Sütü (Yerli) (Manda Sütü Hariç)) ve Ton|01.41.20.02.03. (Manda Sütü (Yerli)) ve Ton|01.45.21.00.01. (Koyun Sütü, Merinos, İşlenmemiş) ve Ton|01.45.21.00.02. (Koyun Sütü, Yerli Ve Diğerleri, İşlenmemiş) ve Ton|01.45.22.00.01. (Keçi Sütü (Tiftik), İşlenmemiş) ve Ton|01.45.22.00.02. (Keçi Sütü (Kıl Keçisi Ve Diğerleri), İşlenmemiş) ve Ton|01.45.30.01.01. (Yapağı (Merinos), Hayvancılık) ve Ton|01.45.30.01.02. (Yapağı (Yerli Ve Diğerleri), Hayvancılık) ve Ton|01.45.30.02.01. (Tiftik, Hayvancılık) ve Ton|01.45.30.02.02. (Keçi Kılı, Hayvancılık) ve Ton|01.49.19.01.01. (Arılar (Kovan Halinde), Eski Tip) ve Kovan Sayısı|01.49.19.01.02. (Arılar (Kovan Halinde), Yeni Tip) ve Kovan Sayısı|01.49.19.02.01. (İpek Böceği (Damızlık İpek Böceği Hariç)) ve Kutu|01.49.21. (Doğal Bal) ve Ton|01.49.25.00.00. (İpek Böceği Kozası, Çile Yapmaya Uygun Olanlar) ve Ton|01.49.26.00.01. (Balmumu, Arı) ve Ton|
||2021|||||||||4.203|23.887||17.008|1413.0|8317.0||83.0||9.5|
|Konya(Halkapınar)-1937|2015|9211.372|210.004||||668.297|0.141|123.315||22.348|0.004|2.984|0.0|355.0||2.25||0.06|
||2016|11794.963|222.358||||610.08||127.102||21.517||2.696|0.0|405.0||1.05||0.1|
||2017|10675.525|704.132||||670.125||134.593||24.781||2.645|0.0|467.0||2.25||0.125|
||2018|11212.144|489.187||||715.967||138.133||24.869||2.048|0.0|493.0||2.465||0.2|
||2019|11457.354|1020.374||||620.908||122.574||27.367||1.757|0.0|493.0||2.08||0.21|
||2020||||||||||31.606||2.041|0.0|358.0||1.55||0.18|
||2021|||||||||0.237|37.127||1.904|0.0|258.0||1.1||0.145|
|Konya(Hüyük)-1804|2015|9986.094|672.014|83.537|2.568|6.052|256.632||38.773|1.575|12.367||0.764|0.0|865.0||6.525||0.221|
||2016|10874.536|736.251|11.766|2.568|6.764|272.451||32.928|2.052|12.155||0.659|0.0|709.0||5.3||0.18|
||2017|10927.843|654.72|56.476|3.852|11.321|238.14||62.316|3.522|12.341||1.319|0.0|799.0||6.35||0.24|
||2018|13052.997|882.018|58.829|14.124|14.525|298.466||46.182|3.009|12.158||1.362|0.0|1166.0||10.494||0.75|
||2019|13177.379|914.137|35.297|24.396|15.557|227.875||41.16|3.648|13.263||1.268|0.0|1190.0||11.25||0.79|
||2020|||||||||5.472|15.103||1.225|0.0|1192.0||2.622||0.953|
||2021|||||||||6.9|20.979||1.425|0.0|1280.0||6.3||1.1|
