|||Sütunlar||||||||||||||||||||||||||||
Satırlar|||Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Tuzlukçu)-1990|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|Hasat Edilen Alan ve Kuru ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Dekar|2015||||||||||||236.0||30.0||20.0||||||50.0|||45.0|||1500.0|
||2016||||||||||||300.0||30.0||20.0|||||||||40.0|||1200.0|
||2017||||||||||||301.0||||20.0||||107.0|250.0||||150.0|||1200.0|
||2018||||||||||||375.0||||20.0||||50.0|300.0||||80.0|||1200.0|
||2019||||55.0||||||||485.0||||24.0||||61.0|412.0||||97.0|||1333.0|
||2020||||50.0||||||||613.0||||24.0|||||395.0||||85.0|||1200.0|
||2021||||50.0||||||||850.0||||200.0|||||360.0||||60.0|||800.0|
|Hasat Edilen Alan ve Kuru ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Dekar|2015|||100.0||||||||||||||||||||||||||
||2016|||105.0||||||||||||||||||||||||||
||2017|||105.0||||||||||||||||||||||||||
|Hasat Edilen Alan ve Sulu ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Dekar|2015|||180.0||||||||||||||||12.0||||100.0||||||
||2016|||50.0||||||||50.0||||||||12.0||||100.0||||||
||2017|||50.0||||||||50.0||||||||12.0||||100.0||||||
||2018|||56.0||||||||56.0||||||||||||||||||
||2019|||92.0||||||||46.0||||||||||||||||||
||2020|||50.0||||||||40.0||||||||||||||||||
||2021|||50.0||||||||40.0|||||100.0|||||||||60.0|50.0|||
|Hasat Edilen Alan ve Sulu ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Dekar|2015|331.0|579.0|49593.0||4.0|70257.0|||165.0|160.0|4959.0|28.0|||21.0|2314.0|28929.0|28929.0|140514.0|1224.0|413.0|5369.0|9092.0|99.0|831.0|20664.0|31409.0|26780.0|
||2016|180.0|540.0|71998.0||4.0|62998.0|||180.0|37.0|7200.0|27.0|||9.0|2083.0|40499.0|45898.0|152995.0|520.0|472.0|4500.0|9900.0|135.0|45.0|24299.0|35999.0|28799.0|
||2017|400.0|557.0|78000.0||4.0|80000.0|||180.0|50.0|20000.0|93.0|||10.0|5200.0|65000.0|94000.0|170000.0|756.0|600.0|6200.0|17000.0|120.0|1200.0|26250.0|27246.0|32000.0|
||2018|364.0|42.0|84627.0||4.0|60968.0||273.0|91.0|32.0|37309.0|546.0|||9.0|8372.0|60331.0|69703.0|191548.0|546.0|591.0|6024.0|14332.0|136.0|910.0|36399.0|22749.0|82989.0|
