|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
||2017|70.0||55.0||45.0|20.0||29.0|25.0|62.0||22.0||40.0|50.0|35.0|||8.0|31.0||35.0|9.0|20.0|30.0|46.0||100.0||87.0|20.0|
||2018|60.0||120.0||45.0|30.0||29.0|25.0|61.0||22.0||40.0|45.0|34.0|||8.0|31.0||34.0|9.0|18.0|30.0|46.0||100.0||33.0|20.0|
||2019|60.0||120.0||45.0|25.0||29.0|25.0|60.0||22.0||40.0|45.0||||8.0|31.0||35.0|11.0|18.0|35.0|46.0||100.0||40.0|20.0|
||2020|60.0||120.0||45.0|28.0||33.0|25.0|60.0||23.0||38.0|45.0||||8.0|31.0||42.0|11.0|18.0|35.0|47.0||100.0||40.0|20.0|
||2021|60.0||120.0||45.0|20.0||25.0|25.0|60.0||21.0||38.0|45.0||||10.0|28.0||42.0|13.0|18.0|40.0|45.0||85.0||25.0|20.0|
|Verim ve 01.24.10.00.04. (Elma (Granny Smith)) - Kg/Meyve Veren Ağaç|2015||5.0|55.0||30.0|17.0||31.0||40.0||30.0|30.0||45.0|60.0|23.0|30.0|6.0|45.0||35.0|12.0|30.0|15.0|35.0|20.0|60.0|||30.0|
||2016||5.0|50.0||17.0|18.0||31.0||47.0||40.0|30.0||50.0|40.0|23.0|30.0|6.0|38.0||40.0|12.0|30.0|30.0|35.0|20.0|152.0|||30.0|
||2017||40.0|55.0||17.0|20.0||31.0||47.0||40.0|32.0||49.0|33.0|23.0|30.0|6.0|36.0||40.0|12.0|30.0|30.0|34.0|22.0|148.0|||30.0|
||2018||40.0|120.0||16.0|30.0||31.0||47.0||40.0|30.0||45.0|34.0|23.0|30.0|6.0|35.0||40.0|12.0|25.0|30.0|34.0|22.0|152.0|||25.0|
||2019||40.0|120.0||18.0|25.0||31.0||47.0||40.0|30.0||46.0|33.0|23.0|30.0|6.0|34.0||40.0|12.0|25.0|35.0|34.0|22.0|149.0|||25.0|
||2020||40.0|120.0||20.0|28.0||33.0||50.0||40.0|29.0||46.0|34.0|23.0|30.0|6.0|34.0||43.0|13.0|23.0|35.0|34.0|24.0|131.0|||25.0|
||2021||40.0|120.0||20.0|20.0||25.0||50.0||40.0|28.0||46.0|35.0|23.0|31.0|10.0|34.0||43.0|13.0|22.0|45.0|34.0|26.0|107.0|||25.0|
|Verim ve 01.24.10.00.99. (Diğer Elmalar) - Kg/Meyve Veren Ağaç|2015|25.0|5.0|30.0|36.0||15.0|35.0|27.0|24.0|50.0|48.0|17.0|24.0|33.0|45.0|24.0|18.0||8.0|44.0|71.0|35.0|10.0|30.0|15.0|31.0|20.0|60.0|22.0||20.0|
||2016|21.0|4.0|25.0|32.0||15.0|29.0|23.0|19.0|42.0|34.0|34.0|20.0|34.0|42.0|21.0|15.0||7.0|31.0|59.0|34.0|8.0|25.0|25.0|26.0|19.0|126.0|19.0||18.0|
||2017|70.0|40.0|35.0|36.0||20.0|35.0|27.0|19.0|45.0|50.0|40.0|21.0|35.0|50.0|19.0|18.0||7.0|35.0|60.0|35.0|9.0|25.0|30.0|26.0|25.0|139.0|20.0||19.0|
||2018|60.0|40.0|60.0|36.0||30.0|35.0|27.0|18.0|44.0||40.0|25.0|34.0|45.0|20.0|20.0||3.0|34.0|60.0|34.0|10.0|20.0|35.0|26.0|25.0|140.0|20.0||20.0|
||2019|60.0|40.0|60.0|36.0||25.0|35.0|27.0|18.0|40.0||40.0|25.0|35.0|45.0|20.0|20.0||3.0|34.0|60.0|35.0|10.0|20.0|35.0|26.0|26.0|142.0|30.0||20.0|
||2020|60.0|40.0|60.0|36.0||28.0|35.0|30.0|18.0|40.0||40.0|25.0|38.0|45.0|22.0|20.0||4.0|34.0|60.0|34.0|11.0|21.0|35.0|26.0|26.0|120.0|30.0||20.0|
||2021|60.0|40.0|60.0|36.0||20.0|35.0|22.0|18.0|40.0||40.0|20.0|38.0|45.0|24.0|20.0||10.0|50.0|60.0|33.0|12.0|21.0|45.0|27.0|29.0|60.0|35.0||20.0|
|Verim ve 01.24.21.00.00. (Armut) - Kg/Meyve Veren Ağaç|2015|24.0|5.0|30.0|30.0|30.0|20.0|30.0|30.0||50.0|47.0|60.0|20.0|25.0|40.0|40.0|30.0|35.0|20.0|26.0||35.0|20.0|25.0|15.0|25.0|25.0|12.0|34.0|25.0|30.0|
||2016|18.0|5.0|29.0|29.0|29.0|19.0|29.0|29.0||48.0|38.0|57.0|18.0|38.0|43.0|28.0|29.0|33.0|19.0|21.0||29.0|19.0|24.0|24.0|25.0|23.0|65.0|34.0|24.0|29.0|
||2017|60.0|20.0|30.0|30.0|30.0|22.0|30.0|30.0||50.0|50.0|50.0|18.0|39.0|45.0|27.0|30.0|35.0|20.0|21.0||35.0|20.0|25.0|30.0|25.0|20.0|71.0|33.0|100.0|29.0|
||2018|40.0|20.0|80.0|30.0|30.0|23.0|30.0|30.0||50.0|40.0|50.0|20.0|39.0|40.0|26.0|30.0|35.0|20.0|20.0||35.0|20.0|20.0|30.0|25.0|20.0|71.0|38.0|30.0|30.0|
||2019|40.0|20.0|80.0|30.0|30.0|20.0|30.0|30.0||50.0|60.0|50.0|20.0|40.0|40.0|26.0|30.0|35.0|19.0|20.0||35.0|20.0|20.0|35.0|25.0|17.0|74.0||30.0|30.0|
||2020|40.0|20.0|75.0|30.0|30.0|25.0|30.0|30.0||60.0|65.0|50.0|20.0|28.0|40.0|28.0|30.0|35.0|20.0|20.0||33.0|20.0|21.0|40.0|25.0|22.0|81.0||30.0|30.0|
||2021|40.0|20.0|70.0|30.0|30.0|20.0|30.0|25.0||60.0|65.0|50.0|18.0|30.0|40.0|30.0|30.0|30.0|20.0|20.0||27.0|20.0|21.0|45.0|24.0|23.0|71.0||14.0|30.0|
|Verim ve 01.24.22.00.00. (Ayva) - Kg/Meyve Veren Ağaç|2015||11.0|24.0|40.0|30.0|10.0|20.0|30.0||||30.0|14.0|14.0||45.0|24.0|30.0|30.0|41.0|20.0|37.0||30.0|25.0|26.0||||30.0|20.0|
||2016||5.0|18.0|30.0|21.0|8.0|12.0|20.0||||20.0|8.0|14.0||28.0|17.0|21.0|20.0|23.0|14.0|22.0||21.0|18.0|18.0||||20.0|13.0|
||2017||15.0|30.0|40.0|30.0|15.0|20.0|30.0||||30.0|8.0|17.0||29.0|24.0|30.0|30.0|33.0|20.0|34.0||25.0|25.0|18.0||||84.0|20.0|
||2018||15.0|49.0|40.0|30.0|16.0|20.0|30.0||||31.0|8.0|17.0||30.0|24.0|30.0|30.0|33.0|20.0|33.0||20.0|30.0|18.0||||38.0|19.0|
||2019||15.0|49.0|40.0|30.0|16.0|20.0|29.0||||31.0|7.0|17.0|||24.0|29.0|25.0|33.0|20.0|37.0||20.0|30.0|18.0||||43.0|19.0|
||2020||15.0|46.0|40.0|30.0|17.0|20.0|29.0||||31.0|13.0|23.0|||24.0|30.0|19.0|30.0|20.0|34.0||20.0|35.0|18.0||||43.0|19.0|
||2021||15.0|50.0|40.0|30.0|16.0|20.0|25.0||||30.0|12.0|25.0|||24.0|25.0|19.0|29.0|30.0|34.0||20.0|35.0|18.0||||17.0|19.0|
|Verim ve 01.24.23.00.01. (Kayısı) - Kg/Meyve Veren Ağaç|2015|30.0|5.0|20.0|56.0|30.0||29.0|12.0||25.0||30.0|10.0|15.0|30.0||33.0|35.0|8.0|43.0|12.0|15.0|35.0|30.0|10.0|18.0|20.0||40.0|29.0|5.0|
||2016||5.0|23.0|53.0|28.0||27.0|12.0||24.0||28.0|10.0|29.0|38.0||31.0|33.0|8.0|34.0|15.0|19.0|33.0|28.0|19.0|16.0|10.0||37.0|27.0|38.0|
