|||Sütunlar||||||||
Satırlar|||||||||||
|||||||||||
|||01.41.10.01. (Süt Sığırları, Canlı (Saf Kültür))|01.41.10.02. (Süt Sığırları, Canlı (Kültür Melezi))|01.41.10.03. (Süt Sığırları, Canlı (Yerli))|01.41.10.04. (Süt Sığırları, Canlı (Manda))|01.45.11.01. (Koyun, Canlı (Merinos))|01.45.11.02. (Koyun, Canlı (Yerli Ve Diğerleri))|01.45.12.01. (Keçi, Canlı (Tiftik Keçisi))|01.45.12.02. (Keçi, Canlı (Kıl Keçisi Ve Diğerleri))|
|Konya(Taşkent)-1848|2015|95.0|45.0|15.0|||3121.0||5292.0|
||2016|96.0|46.0|17.0|||3085.0||5187.0|
||2017|153.0|69.0|27.0|||4864.0||5559.0|
||2018|179.0|85.0|22.0|||5304.0||5809.0|
||2019|181.0|85.0|20.0|||6191.0||6759.0|
|Konya(Tuzlukçu)-1990|2015|2670.0|1068.0|99.0||2715.0|10769.0||332.0|
||2016|2688.0|975.0|83.0||2603.0|10102.0||357.0|
||2017|2542.0|828.0|82.0||2941.0|11494.0||588.0|
||2018|3423.0|1052.0|13.0||6679.0|9223.0||386.0|
||2019|3368.0|1250.0|11.0||5741.0|8009.0||300.0|
|Konya(Yalıhüyük)-1994|2015|273.0|45.0|13.0||76.0|45.0|||
||2016|273.0|45.0|13.0||150.0|28.0|||
||2017|238.0|14.0|1.0||93.0|49.0|||
||2018|242.0|20.0|3.0||98.0|86.0|||
||2019|238.0|32.0|1.0||106.0|89.0||0.0|
|Konya(Yunak)-1735|2015|3738.0|1469.0|169.0||1869.0|31150.0||308.0|
||2016|3783.0|1486.0|176.0||997.0|31328.0||312.0|
||2017|2692.0|821.0|178.0||988.0|23354.0||315.0|
||2018|4038.0|1232.0|178.0||1482.0|35030.0||472.0|
||2019|3800.0|1335.0|218.0||1504.0|30643.0||504.0|
|||||||||||
