||2017||15.0|15.0|||||||2890.0|300.0||64.0||90.0|1045.0||26678.0||720.0||80.0|50.0|||18900.0|8160.0|76086.0|550.0|6726.0|20.0|||18.0|358.0|1050.0||||||||200.0|408.0|||141.0|6.0|26376.0|9736.0|448259.0||550.0|||||||||||||||5.0||||||6.0|||36.0||99.0|35.0|70.0|48.0|||
||2018||15.0|15.0|||||||2924.0|300.0||64.0||90.0|1339.0||23806.0||820.0||120.0|53.0|||17560.0|9520.0|76302.0|825.0|7376.0|20.0|||17.0|378.0|1125.0||||||||265.0|510.0|||140.0|6.0|22933.0|11338.0|475170.0||1100.0|||||||||||||||5.0|||||||||36.0||99.0|35.0|70.0|48.0|||
||2019||9.0|15.0|||||||2600.0|220.0||64.0||90.0|1105.0||24065.0||1080.0||120.0|55.0|||18130.0|10880.0|80526.0|1100.0|8256.0|30.0|||17.0|418.0|1250.0||||||||270.0|540.0|||150.0|6.0|23545.0|12807.0|501150.0||1650.0|||||||||||||||5.0|||||||||36.0||99.0|35.0|70.0|48.0|||
||2020||15.0|9.0||||||||||64.0||90.0|1183.0||25002.0||1132.0||160.0|100.0|||19148.0|11550.0|83388.0|1360.0|7456.0|30.0|||35.0|453.0|1150.0||||||||280.0|582.0|||200.0|6.0|24383.0|12915.0|507435.0||1983.0|||||||||||||||6.0|||||||||36.0||99.0|35.0|70.0|49.0|||
||2021||21.0|3.0|||||||350.0|||100.0||90.0|603.0||23153.0||392.0||20.0|105.0|||14300.0|11280.0|85466.0|1375.0|2456.0|15.0|||35.0|138.0|250.0||||||||150.0|564.0|||297.0|6.0|20794.0|12656.0|477158.0||1980.0|||||||||||||||8.0|||||||||60.0||99.0|50.0|70.0|61.0|||
|Nevşehir-50|2004||||||||||||||||||||||||||||||||||3.0|19.0|||||||||||||6.0||76.0||96.0||||18.0||||||||4.0||||||||||||||||||7.0|||24.0|
||2005|||||||||||||||||17.0|||||||||||||||||3.0|19.0|||||||||||||6.0||78.0||99.0||||20.0||||||||4.0||||||||||||||||||17.0|||24.0|
||2006|||||||||||||||||||||||||||||||||||20.0|||||||||||||||32.0||102.0||||20.0||||||||4.0||||||||||||||||||17.0||||
||2007|||2.0||||||||||||||||||||||||||||||||12.0|||||||||||||8.0||37.0|14.0|110.0||||20.0||||||||2.0||||||||||||||||||32.0||||
||2008|||||||||||||||||||||||||||||||||||4.0|||||||||||||||15.0||106.0||||2.0||||||||2.0||||||||||||||||||||||
||2009|||||||||||||||||||||||||||||||||||4.0|||||||||||||||15.0||106.0||||2.0||||||||||||||||||||||||||||||
||2010|||||||||||||||||||||||||||||||||||5.0|||||||||||||4.0||60.0|10.0|192.0||||2.0||||||||||||||||||||||||||||||
||2011||||||||||||||||||||||||||||1650.0|||||||5.0|||||||||||||4.0||60.0|10.0|204.0||||2.0||||||||||||||||||||||||||||||
||2012||||||||||||||||||||||||||||1757.0|||||||4.0|||||||||||||||60.0||140.0||||2.0||||||||||||||||||||||||||||||
||2013||||||||||||||||||||||||||||1800.0|||||||4.0|||||||||||||||60.0||267.0||||2.0||||||||||||||||||||||||||||||
||2014||||||||||||||||||||||||||||1763.0|||||||4.0|||||||||||||||75.0||263.0||||2.0||||||||||||||||||||||||||||||
||2015||||||||||||||||||||||||||||1748.0|||||||4.0|||||||||||||||60.0||272.0||||2.0||||||||||||||||||||||||||||||
||2016||||||||||||||||||||||||||||1752.0|||||||4.0|||||||||||||||75.0||309.0||||2.0||||||||||||||||||||||||||||||
||2017||||||||||||||||||||||||||||1537.0|||||||4.0|||||||||||||||75.0||309.0||||2.0||||||||||||||||||||||||||||||
||2018||||||||||||||||||||||||||||1596.0|||||||4.0|||||||||||||||76.0||319.0||||2.0||||||||||||||||||||||||||||||
||2019||||||||||||||||||||||||||||1960.0|||||||4.0|||||||||||||||77.0||319.0||||2.0||||||||||||||||||||||||||||||
||2020||||||||||||||||||||||||||||1960.0|||||||5.0|||||||||||||||77.0||319.0||||2.0||||||||||||||||||||||||||||||
||2021||||||||||||||||||||||||||||1960.0|||||||5.0|||||||||||||||77.0||319.0||||2.0||||||||||||||||||||||||||||||
|Niğde-51|2020|||||||||||||||||||||||||||||||||||7.0|||||||||||||42.0||42.0||48.0||7.0||||||||||||||||||||||||||||||||
||2021|||||||||||||||||||||||||||||||||||7.0|||||||||||||42.0||48.0||72.0||7.0||||||||||||||||||||||||||||||||
|Ordu-52|2004||65.0||||||||||54.0|||248.0||||||5.0|||||20.0||||63.0||||275.0|1.0||1.0||||||||||69.0|||2980.0|47.0|1143.0|||||||8.0||||159.0|1.0||3.0||||||||||||||377.0||137.0||||
||2005||75.0|||||||||||||336.0||75.0||||3.0|||||10.0||3.0||17.0||||634.0||||||||||||||||1861.0|27.0|1358.0||18.0|||||55.0||||154.0|1.0||4.0|||1.0||||||||1.0|||685.0|12.0|297.0||||
||2006|||75.0||||||||||||90.0||75.0|||||3.0||||10.0||3.0||8.0||||100.0|500.0|||||||||||||||1853.0|24.0|1314.0|27.0||||||59.0||||150.0|1.0||9.0|||||||||||1.0|||661.0|12.0|296.0||||
||2007|||||||||||||||50.0|||||||||||2.0||3.0||4.0||||64.0||||||||||||||||788.0|24.0|759.0|||||||8.0||3.0||150.0|||2.0||||||||||||||450.0||152.0|||2.0|
||2008||||||||||||||||||||||||||||||5.0||||90.0||||||||||||||31.0||1000.0|15.0|967.0|||||||8.0||3.0||165.0|||2.0||||||||||||||640.0||204.0|||2.0|
||2009||||||||||||||||||||||||||||||6.0||||105.0||||||||||||||1.0||786.0||772.0|||||||9.0||||150.0|||2.0||||||||||||||647.0||205.0||||
||2010||||||||||||||||||||||||||||||1.0||||168.0||||||||||||||||456.0||347.0|||||||6.0||||115.0|||3.0||||||||||||3.0||572.0||230.0||||
||2011|||||||||||||||||||||2.0|||||6.0||6.0||1.0||||106.0||||||||||||||||345.0||196.0|||||||5.0||||47.0|||3.0||||||||||||3.0||156.0||98.0||||
||2012|||||||||||||||||||||2.0|||||6.0||6.0||1.0||||106.0||||||||||||||||391.0||135.0|||||||7.0||||44.0|||3.0||||||||||||3.0||226.0||157.0||||
||2013|||||||||||||||||||||3.0|||||14.0||15.0||19.0||||408.0|||4.0|||||||||||4.0||1109.0||1432.0||||||||||||||||||||||||||||||||||
||2014|||||||||||||||||||||2.0|||||14.0||15.0||26.0||||237.0|||3.0||||||||||||6.0|917.0|7.0|1276.0|||||||||||8.0|||||||||||||||3.0||54.0||32.0||||
||2015|||||||||||||||||||||2.0|||||14.0||15.0||25.0||||217.0|||3.0||||||||||||3.0|930.0|4.0|1215.0|||||||||||8.0|||||||||||||||3.0||54.0||32.0||||
||2016|||||||||||||||||||||2.0|||||14.0||15.0||24.0||||133.0|||9.0||||||||||||3.0|789.0|4.0|936.0|||||||||||80.0|||||||||||||||3.0||241.0||220.0||||
||2017|||||||||||||||||||||2.0|||||14.0||15.0||20.0||||135.0|||9.0||||||||||||3.0|828.0|4.0|995.0|||||||||||80.0|||||||||||||||3.0||241.0||220.0||||
||2018|||||||||||||||||||||2.0|||||14.0||15.0||25.0||||140.0|||14.0||||||||||||3.0|842.0|4.0|992.0|||||||||||80.0|||||||||||||||3.0||240.0||220.0||||
||2019|||||||||||||||||||||3.0|||||10.0||12.0||24.0||||156.0|||16.0||||||||||||3.0|656.0|4.0|804.0|||||||||||81.0|||||||||||||||3.0||221.0||201.0||||
||2020|||||||||||||||||||||3.0|||||10.0||12.0||24.0||||162.0|||17.0||||||||||||3.0|695.0|4.0|837.0|||||||||||83.0|||||||||||||||3.0||221.0||206.0||||
