||2020|252.0||3713.0|||||||||||3245.0|||||||31.0||5.0|18226.0||45639.0|29924.0|21502.0|8985.0|2046.0||14163.0|256.0|8741.0|32793.0|14496.0|1227.0|45.0|3326.0||2.0|||275.0||11837.0|22136.0|2196.0|27432.0|||||39.0|||
||2021|250.0||4770.0|||||||||||3081.0|||||||25.0||3.0|19705.0||44316.0|24873.0|16539.0|9476.0|2026.0||13589.0|281.0|9189.0|33128.0|13568.0|1227.0|42.0|3251.0||2.0|||258.0||30397.0|23413.0|2262.0|28777.0|||||42.0|||
|Giresun-28|2004|7340.0|38.0|243.0||||631.0||5014.0||||308.0|104.0||150.0|||32.0|6.0|38.0|2.0||10.0||60.0|100.0|32.0|175.0|314.0|||||389.0|||9.0|105.0|511.0||||2.0||29.0|5.0|134.0|458.0|186.0|||10.0||||
||2005|5922.0|21.0|239.0||15.0||2061.0||4844.0||||392.0|143.0||168.0|||42.0|6.0|55.0|2.0||6.0||60.0|100.0|40.0|213.0|439.0||1549.0|68.0||485.0|1722.0||9.0|119.0|684.0||||2.0||31.0|4.0|143.0|451.0|557.0|||10.0||||
||2006|7424.0||265.0||15.0||1691.0||4435.0|||3.0|377.0|154.0||162.0|||44.0|7.0|51.0|2.0||11.0||60.0|100.0|8.0|472.0|664.0||2875.0|61.0||581.0|1992.0||17.0|96.0|603.0||||||28.0||125.0||571.0|||||||
||2007|7227.0|24.0|249.0||16.0||1562.0||5736.0|||12.0|376.0|122.0||131.0|||48.0|8.0|40.0|2.0||6.0||72.0|90.0||317.0|801.0||1771.0|61.0||642.0|1804.0|20.0||92.0|397.0||||||24.0|12.0|100.0||234.0|||1.0||||
||2008|7844.0|24.0|251.0||16.0||1550.0||5599.0|||12.0|360.0|127.0||140.0|||46.0|6.0|39.0|2.0||5.0||72.0|90.0||327.0|830.0||1753.0|57.0||624.0|1921.0|20.0||95.0|545.0||||||24.0|11.0|87.0||579.0|||1.0||||
||2009|8243.0|26.0|250.0||17.0||1547.0||6257.0|||11.0|360.0|124.0||136.0|||48.0|6.0|37.0|2.0||4.0||66.0|84.0|5.0|325.0|832.0||1828.0|53.0||626.0|1956.0|10.0||97.0|547.0||||||23.0|9.0|89.0||568.0|||1.0|||2.0|
||2010|5770.0|21.0|233.0||14.0||1442.0||5233.0|||9.0|272.0|97.0||115.0|||50.0|5.0|33.0|2.0||5.0|0.0|72.0|90.0|5.0|298.0|352.0||1591.0|43.0||497.0|1671.0|8.0||93.0|401.0||||||16.0|7.0|63.0||546.0|||1.0|||2.0|
||2011|5926.0|18.0|257.0||13.0||1446.0||5254.0|||5.0|301.0|89.0||117.0|||49.0|4.0|36.0|2.0||6.0|0.0|72.0|90.0|2.0|314.0|416.0||1514.0|41.0||448.0|1607.0|8.0||109.0|534.0||||||14.0|6.0|51.0||333.0|||1.0||||
||2012|5874.0|24.0|239.0||10.0||1446.0||5515.0|||5.0|308.0|73.0||105.0|||54.0|4.0|40.0|2.0||3.0|0.0|48.0|60.0|1.0|296.0|433.0||1586.0|44.0||434.0|1552.0|7.0||102.0|393.0||||||12.0|6.0|48.0||278.0|||1.0||||
||2013|5933.0||235.0||11.0||1431.0||5975.0|||2.0|357.0|56.0||103.0|||52.0|3.0|44.0|1.0||2.0||||1.0|287.0|380.0||1682.0|42.0||452.0|1774.0|7.0||100.0|384.0||||||12.0|6.0|63.0||274.0|||1.0||||
||2014|6234.0||230.0||10.0||1446.0||6410.0|||2.0|361.0|61.0||105.0|||54.0|3.0|43.0|1.0||2.0||||1.0|284.0|381.0||1719.0|38.0||466.0|1701.0|8.0||94.0|386.0||||||12.0|5.0|67.0||244.0|||1.0||||
||2015|6445.0||234.0||9.0||1461.0||7192.0|||2.0|398.0|49.0||104.0|||52.0|3.0|52.0|1.0||2.0||||1.0|309.0|442.0||1770.0|26.0||529.0|2044.0|7.0||97.0|373.0||||||10.0|5.0|64.0||239.0|||||||
