|||Sütunlar||||||||||||||
Satırlar|||||||||||||||||
|||||||||||||||||
|||Alan ve Alçak Tünel ve 01.25.13.00.00. (Çilek) - Dekar|Alan ve Cam Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Dekar|Alan ve Cam Sera ve 01.25.13.00.00. (Çilek) - Dekar|Alan ve Plastik Sera ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Dekar|Alan ve Plastik Sera ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Dekar|Alan ve Plastik Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Dekar|Alan ve Plastik Sera ve 01.24.23.00.01. (Kayısı) - Dekar|Alan ve Plastik Sera ve 01.24.26.00.00. (Nektarin) - Dekar|Alan ve Plastik Sera ve 01.24.27.00.00. (Erik) - Dekar|Alan ve Plastik Sera ve 01.25.13.00.00. (Çilek) - Dekar|Alan ve Plastik Sera ve 01.25.19.00.01. (Maviyemiş) - Dekar|Alan ve Yüksek Tünel ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Dekar|Alan ve Yüksek Tünel ve 01.24.27.00.00. (Erik) - Dekar|Alan ve Yüksek Tünel ve 01.25.13.00.00. (Çilek) - Dekar|
||2015|1.0|||||||||13.0||||352.0|
||2016|13.0|||||||||18.0||||330.0|
||2017|13.0|||||||||18.0||||324.0|
||2018|13.0|||||||||131.0||||324.0|
||2019|12.0|||||||||110.0||||324.0|
||2020|12.0|||||||||25.0||||324.0|
||2021|12.0|||||88.0||||25.0||||354.0|
|Kahramanmaraş-46|2021|30.0||||||||||||||
|Kayseri-38|2016||||||||||||||4.0|
||2017||||||||||1.0||||4.0|
||2018||||||||||1.0||||4.0|
||2020||||||||||1.0|||||
|Kırklareli-39|2009|4.0||||||||||||||
||2020||||||||||4.0|||||
||2021||||||||||3.0|||||
|Konya-42|2004|1.0|||||||||||||1.0|
||2014||1.0|||||||||||||
|Kütahya-43|2004||||||||||4.0|||||
||2016|4.0|||||||||17.0||||11.0|
||2017|4.0|||||||||17.0||||12.0|
||2018|5.0|||||||||9.0||||12.0|
||2019||||||||||9.0||||10.0|
||2020||||||||||||||10.0|
||2021||||||||||2.0||||10.0|
|Manisa-45|2004|7.0|||||||||13.0||||40.0|
||2005|21.0|||||||||10.0||||40.0|
||2006|10.0||2.0|||||||7.0||||38.0|
||2007|8.0|||||||||8.0||||16.0|
||2008|7.0|||||||||9.0||||11.0|
||2009|8.0|||||||||6.0||||5.0|
||2010||||||||||7.0||||7.0|
||2011||||||||||4.0||||7.0|
||2012||||4.0||||||3.0||||7.0|
||2013||||4.0||||||1.0|||||
||2014||||4.0||||||1.0|||||
||2015||||4.0||||||3.0|||||
||2016||||4.0||||||3.0||||80.0|
||2017||||||||||3.0||||80.0|
||2018||||||||||3.0||||80.0|
||2019||||||54.0||||3.0||||80.0|
||2020||||||89.0||||4.0||||84.0|
||2021||||||89.0||||4.0||||80.0|
|Mersin-33|2004|1530.0|||||12125.0||||300.0||||10290.0|
||2005|1800.0|||||13545.0||||295.0||||10290.0|
||2006|2310.0|||||19573.0||||28.0||||11280.0|
||2007|2210.0|||||20578.0||||275.0||||13150.0|
||2008|2210.0||6.0|||22560.0||||275.0||||13000.0|
||2009|2210.0||7.0|||22558.0||||150.0||||13000.0|
||2010|2260.0||1.0|123.0||22878.0||||150.0||||13000.0|
||2011|2250.0||1.0|123.0||24828.0||||150.0||||13000.0|
||2012|2250.0||1.0|123.0||25224.0|300.0|||150.0||||13000.0|
||2013|2320.0||1.0|153.0||26724.0|320.0|30.0||250.0||||13000.0|
||2014|2780.0||1.0|135.0||27407.0|327.0|33.0||150.0||||14300.0|
||2015|3548.0||2.0|337.0||29712.0|402.0|30.0||200.0||||15350.0|
||2016|3500.0||2.0|344.0||35247.0|371.0|30.0|75.0|350.0||||13248.0|
||2017|7616.0|1531.0|8.0|344.0||37668.0|371.0|30.0|120.0|361.0||||9379.0|
||2018|18712.0||7.0|428.0||40303.0|312.0|10.0|121.0|1006.0||1531.0||6479.0|
||2019|19645.0||7.0|438.0||42021.0|292.0|10.0|125.0|1360.0||2259.0||7529.0|
||2020|22985.0||6.0|463.0||48782.0|266.0|5.0|160.0|960.0||1550.0||7485.0|
||2021|23142.0||6.0|466.0||53570.0|246.0|5.0|230.0|960.0||3349.0||7495.0|
|Muğla-48|2004|6.0|1.0||||||||15.0||||5.0|
||2005|57.0|1.0||||||||15.0||||10.0|
||2006|53.0|1.0||||||||20.0||||23.0|
||2007|63.0|||||||||20.0||||23.0|
||2008|63.0|||||||||20.0||||23.0|
||2009|118.0|||||||||20.0||||2.0|
||2010|113.0|||||||||30.0||||5.0|
||2011|98.0|||||||||30.0||||5.0|
||2012|138.0|||||||||30.0||||5.0|
||2013|148.0|||||||||30.0||||5.0|
||2014|179.0|||||||||20.0||||5.0|
||2015|174.0|||||||||2.0||||5.0|
||2016|264.0|||||||||7.0||||16.0|
||2017|259.0|||||100.0||||7.0||||17.0|
||2018|264.0|||10.0|20.0|310.0||||7.0||||23.0|
||2019|251.0||5.0|10.0|20.0|312.0||||||||22.0|
||2020|216.0|||2.0||470.0||||11.0||||35.0|
||2021|279.0|||4.0||617.0||||11.0||||42.0|
