|||Sütunlar||||
Satırlar|||||||
|||||||
|||Alçak Tünel - Dekar|Cam Sera - Dekar|Plastik Sera - Dekar|Yüksek Tünel - Dekar|
||2020|0.1|33.0|649.6|407.2|
||2021|0.1|33.0|2835.6|358.2|
|Bartın-74|2004|149.0|0.0|1.0|576.0|
||2005|149.0|0.0|2.0|612.0|
||2006|153.0|0.0|2.0|711.0|
||2007|195.0|0.0|2.0|877.0|
||2008|248.0|0.0|2.0|950.0|
||2009|250.0|0.0|2.0|1046.0|
||2010|250.0|0.0|2.0|1157.0|
||2011|275.0|0.0|2.0|1330.0|
||2012|282.0|0.0|2.0|1363.0|
||2013|282.0|0.0|6.0|1370.0|
||2014|282.0|0.0|6.0|1386.0|
||2015|282.0|0.0|6.0|1407.0|
||2016|282.0|0.0|6.0|1437.0|
||2017|282.0|0.0|2.0|1468.0|
||2018|286.0|0.0|2.0|1475.0|
||2019|286.0|0.0|2.0|1480.0|
||2020|285.0|0.0|2.0|1487.0|
||2021|242.0|0.0|2.0|1552.0|
|Batman-72|2004|0.0|0.0|16.0|0.0|
||2005|0.0|0.0|10.0|0.0|
||2006|0.0|0.0|11.0|1.0|
||2007|0.0|0.0|0.0|1.0|
||2008|0.0|0.0|0.0|0.0|
||2009|0.0|0.0|0.0|0.0|
||2010|0.0|0.0|0.0|0.0|
||2011|0.0|0.0|0.0|0.0|
||2012|0.0|0.0|0.0|0.0|
||2013|0.0|0.0|0.0|0.0|
||2014|0.0|0.0|25.0|0.0|
||2015|0.0|0.0|25.0|0.0|
||2016|0.0|0.0|45.0|0.0|
||2017|0.0|0.0|60.0|0.0|
||2018|0.0|0.0|280.0|0.0|
||2019|0.0|0.0|350.0|0.0|
||2020|0.0|0.0|350.0|0.0|
||2021|0.0|0.0|350.0|0.0|
|Bayburt-69|2004|0.0|0.0|0.0|0.0|
||2005|0.0|0.0|6.0|0.0|
||2006|0.0|0.0|0.0|10.0|
||2007|0.0|0.0|0.0|8.0|
||2008|0.0|0.0|0.0|8.0|
||2009|0.0|0.0|0.0|8.0|
||2010|0.0|0.0|0.0|22.0|
||2011|0.0|0.0|0.0|22.0|
||2012|0.0|0.0|1.0|20.0|
||2013|0.0|0.0|1.0|20.0|
||2014|0.0|0.0|2.0|21.0|
||2015|0.0|0.0|2.0|21.0|
||2016|0.0|0.0|1.0|20.0|
||2017|0.0|0.0|2.0|21.0|
||2018|0.0|0.0|2.0|21.0|
||2019|0.0|0.0|4.0|25.0|
||2020|0.0|0.0|4.0|25.0|
||2021|0.0|0.0|6.0|28.0|
|Bilecik-11|2004|10.0|0.0|351.0|63.0|
||2005|10.0|0.0|534.0|73.0|
||2006|0.0|0.0|638.0|129.0|
||2007|10.0|0.0|821.0|129.0|
||2008|0.0|0.0|1219.0|129.0|
||2009|0.0|0.0|1634.0|239.0|
||2010|0.0|0.0|1996.0|274.0|
||2011|0.0|0.0|2054.0|288.0|
||2012|0.0|0.0|2318.0|363.0|
||2013|0.0|0.0|3090.0|365.0|
||2014|0.0|0.0|3093.0|500.0|
||2015|0.0|0.0|2915.0|643.0|
||2016|0.0|0.0|3820.0|40.0|
||2017|0.0|0.0|3811.0|40.0|
||2018|0.0|0.0|4521.0|40.0|
||2019|9.0|0.0|3646.0|37.0|
||2020|4.0|0.0|3685.0|38.0|
