|||Üretim Miktarı ve 01.19.21.00.01. (Karanfil, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.02. (Glayöl, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.03. (Gerbera, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.04. (Gypsohilla, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.05. (Kasımpatı (Krizantem), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.06. (Anemon (Manisa Lalesi), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.07. (Lilyum (Zambak), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.08. (Orkide, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.09. (Lale, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.10. (Gül, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.12. (Lisianthus, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.13. (Fresia, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.14. (Şebboy, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.15. (Sümbül, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.16. (İris, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.17. (Statice, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.18. (Solidago (Altınbaşak), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.19. (Nergis, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.99. (Diğer Kesme Çiçek Ve Çiçek Koncaları) - Adet Sayısı|Üretim Miktarı ve 01.30.10.01. (Çiçek Soğanları) - Adet Sayısı|Üretim Miktarı ve 01.30.10.03.05. (İç Mekan Süs Bitkileri (Oda Bitkileri)) - Adet Sayısı|Üretim Miktarı ve 01.30.10.03.06. (Dış Mekan Süs Bitkileri) - Adet Sayısı|
||2018||2550000.0|||||875000.0||8000.0|27500.0|190000.0|70000.0|811950.0|92750.0|960000.0||||||1217495.0|1.401437E7|
||2019||2550000.0|||||875000.0||5000.0|27500.0|190000.0|70000.0|1095000.0|92500.0|960000.0||||||1217495.0|1.3826696E7|
||2020||750000.0|||||264000.0|1000000.0|5000.0|2523000.0|60000.0||660000.0|255000.0|||||||3215495.0|1.305547E7|
||2021||900000.0|||||47500.0|||2689000.0|400000.0||1200000.0|300000.0|||||9375.0||3802495.0|1.397805E7|
|Denizli-20|2013|||||||||||||||||||||34500.0|977241.0|
||2014|||||||||||||||||||||163490.0|1002843.0|
||2015|||||||||||||||||||||63750.0|882510.0|
||2016|||||||||||||||||||||63750.0|882510.0|
||2017|||||||||||||||||||||63750.0|882510.0|
||2018|||||||||||||||||||||63750.0|882230.0|
||2019|||||||||||||||||||||63750.0|882230.0|
||2020|||||||||||||||||||||63750.0|882230.0|
||2021|636300.0||||||||||||||||||||78750.0|1007486.0|
|Düzce-81|2011||6000.0|8000.0||20000.0|||||2000.0||4000.0|4000.0||||||7500.0||||
||2012||6000.0|8000.0||7500.0|||||2000.0||4000.0|650.0||||||7500.0||||
||2013||6000.0|8000.0||7500.0|||||2000.0||4000.0|650.0||||||7500.0|7500.0|7500.0|146347.0|
||2014|||||2000.0|||||2000.0|||650.0||||||43800.0|7500.0||306737.0|
||2015|||||2000.0|||||2000.0|||650.0||||||43800.0|7500.0||332377.0|
||2016|||||2000.0|||||2000.0|||650.0||||||43800.0|7500.0||429307.0|
||2017|||||2000.0|||||2000.0|||650.0||||||43800.0|7500.0||428220.0|
||2018|||||2000.0|||||2000.0|||650.0||||||43800.0|7500.0||428115.0|
||2019|||||2525.0|||||1764.0|||588.0||||||45880.0|7854.0||438845.0|
||2020||||||||||||||||||||||711550.0|
||2021||||||||||||||||||||||623810.0|
|Edirne-22|2013||||||||||||||||||||||2500000.0|
||2014||||||||||||||||||||||2500000.0|
||2015||||||||||||||||||||||2500000.0|
||2016||||||||||||||||||||||2500000.0|
||2017||||||||||||||||||||||2500000.0|
||2018||||||||||||||||||||||2500000.0|
||2019||||||||||||||||||||||2500000.0|
||2020||||||||||||||||||||||2500000.0|
||2021||||||||||||||||||||||2500000.0|
|Elazığ-23|2011|78600.0|425.0|||16580.0|450.0|1000.0||2250.0|19980.0|900.0||750.0|1950.0|650.0|||5000.0|1226100.0||||
||2012|302860.0|340.0|||20250.0|570.0|1375.0||2600.0|19500.0|675.0||900.0|1755.0|780.0|||4500.0|1214500.0||||
||2013|||||17500.0||||||||||||||||120000.0|980000.0|
||2014|||||||||||||||||||||120150.0|982000.0|
||2015|||||||||||||||||||||120150.0|982000.0|
||2016||||||||||||||||||||||1581129.0|
||2017||||||||||||||||||||||1401128.0|
||2018||||||||||||||||||||158000.0||1053000.0|
||2019||||||||||||||||||||180000.0||519000.0|
||2020||||||||||||||||||||||532840.0|
||2021||||||||||||||||||||||582840.0|
|Erzurum-25|2013||||||||||||||||||||||356000.0|
||2014||||||||||||||||||||||170000.0|
||2015||||||||||||||||||||||519650.0|
||2016||||||||||||||||||||||519650.0|
||2017||||||||||||||||||||||519650.0|
||2018||||||||||||||||||||||519650.0|
||2019||||||||||||||||||||||519650.0|
||2020||||||||||||||||||||||519850.0|
||2021||||||||||||||||||||||520550.0|
|Eskişehir-26|2013|||||||||||||||||||||18000.0|817008.0|
||2014|||||||||||||||||||||19800.0|868870.0|
||2015||||||||||||||||||||2500.0|12000.0|1128140.0|
||2016||||||||||||||||||||2500.0|12000.0|1128140.0|
||2017||||||||||||||||||||2500.0|2500.0|948000.0|
||2018||||||||||||||||||||2500.0|2500.0|948000.0|
||2019||||||||||||||||||||2500.0|996000.0|1071214.0|
||2020||||||||||||||||||||2500.0|10500.0|9483550.0|
||2021|||||||||||||||||||||10500.0|2757289.0|
|Giresun-28|2013||||||||||||||||||||||50025.0|
||2014||||||||||||||||||||||52000.0|
||2015||||||||||||||||||||||56000.0|
||2016||||||||||||||||||||||56000.0|
||2017||||||||||||||||||||||56000.0|
||2018||||||||||||||||||||||56000.0|
||2019||||||||||||||||||||||65500.0|
||2020||||||||||||||||||||||67000.0|
||2021||||||||||||||||||||||20000.0|
|Hatay-31|2011|1500.0|7500.0||||||||740000.0|||||||||||||
||2012|1500.0|7500.0||||||||748000.0|||||||||||||
||2013|1500.0|||||||||748000.0|||||||||||594520.0|640000.0|
||2014||||||||||8000.0|||||||||||256560.0|468000.0|
||2015||||||||||8000.0|||||||||||160020.0|374896.0|
||2016||||||||||8000.0|||||||||||158200.0|373700.0|
||2017||||||||||8000.0|||||||||||158200.0|373700.0|
||2018|||||||||||||||||||||158200.0|373700.0|
||2019|||||||||||||||||||||158200.0|380000.0|
||2020|||||||||||||||||||||158200.0|6380000.0|
||2021||||||||||220000.0|||||||||||158200.0|6380000.0|
|Isparta-32|2011|4.686E7||||30000.0||||||50000.0|||||150000.0|||7000.0||||
||2012|4.884E7||||236000.0||||||144000.0|||||50000.0|||4000.0||||
||2013|5.115E7|60000.0|||720000.0|||||||||||15000.0|||45000.0||||
||2014|5.522E7||||200000.0|||||||||||30000.0|||45000.0||||
||2015|6.168E7||||||||||170000.0||||||||||||
||2016|6.624E7||||||||||||||||||||||
||2017|6.963E7||||||||||||||||||||||
||2018|7.752E7||||||||||||||||||||||
||2019|1.0377E8||||||||||||||||||||||
||2020|1.1718E8||||||||||||||||||||||
||2021|2.408E8|||||||||312000.0|||||||||||||
|İstanbul-34|2011|255000.0|2766800.0|859800.0|580000.0|451920.0|460000.0|3489400.0|84000.0|1150000.0|235200.0|72400.0|391966.0|152002.0|1121000.0|675000.0|||1635000.0|270000.0||||
||2012|210000.0|2386800.0|1436500.0|446000.0|322460.0|311000.0|2743800.0|79400.0|1102500.0|9700.0|72900.0|350000.0|131000.0|1376500.0|240000.0|||1365000.0|250000.0||||
||2013|135000.0|286800.0|1356000.0|305500.0|257950.0|251000.0|2439300.0|60200.0|570000.0|8500.0|54400.0|165000.0|55000.0|663200.0|138000.0|||107500.0|184000.0|1350000.0|221100.0|5190420.0|
||2014|275000.0|821800.0|1320000.0|326000.0|151050.0|288000.0|2221800.0|62400.0|570000.0|150000.0|37400.0|37500.0|116000.0|690500.0|78000.0||30000.0|507500.0|181000.0|990000.0||1.089392E7|
||2015|275000.0|556800.0|1356000.0|333000.0|588450.0|288000.0|2368600.0|48800.0|660000.0|75000.0|37400.0|519000.0|96000.0|690500.0|78000.0|||507500.0|189000.0|990000.0||1.1284906E7|
||2016|275000.0|708800.0|1545000.0|516000.0|2927750.0|288000.0|3641800.0|45500.0|382500.0|75000.0|37400.0|519000.0|3609190.0|690500.0|78000.0|||7500.0|181000.0|270000.0|1440000.0|1.23313E7|
||2017|275000.0|708800.0|1545000.0|516000.0|2927750.0|288000.0|3641800.0|45500.0|382500.0|75000.0|37400.0|519000.0|3609190.0|690500.0|78000.0|||7500.0|181000.0|270000.0|720000.0|1.30513E7|
||2018|275000.0|528800.0|1545000.0|516000.0|3031750.0|288000.0|3455800.0|45500.0|562500.0|75000.0|37400.0|37500.0|3575500.0|50500.0|||||181000.0|350000.0|5000000.0|1.742234E7|
||2019|275000.0|528800.0|1445000.0|516000.0|3032850.0|288000.0|3455200.0|45500.0|187500.0|75000.0|37400.0|37500.0|3574000.0|500500.0|240000.0|||700000.0|181000.0|350000.0|750000.0|2.227234E7|
||2020|275000.0|528800.0|1445000.0|516000.0|3060250.0|288000.0|3455500.0|7500.0|187500.0|75000.0|37400.0|37500.0|3601000.0|500500.0|240000.0|||350000.0|151912.0||500000.0|2.096179E7|
||2021|275000.0|528800.0|1445000.0|516000.0|2846050.0|288000.0|3455500.0|10800.0|112500.0|75000.0|37400.0|37500.0|3614200.0|300500.0|120000.0|||125000.0|152000.0||500000.0|1.80301E7|
|İzmir-35|2011|2.185083E8|2880900.0|2.655164E7|679500.0|2.978549E7||6147060.0|||3.203E7|2472990.0|9317500.0|361100.0|503000.0|||30000.0|7253000.0|4877000.0||||
||2012|2.2417875E8|6522330.0|2.69054E7|679500.0|3.00175E7||8728500.0|||3.215E7|3748000.0|7855000.0|415100.0|503000.0|||30000.0|7253000.0|3334500.0||||
||2013|2.0607595E8|5010150.0|2.53695E7|639500.0|3.85698E7||5724060.0|||3.245E7|2986000.0|7341600.0|335500.0|528000.0||175000.0|30000.0|1.0823E7|7016000.0|7904680.0|1.23442E7|9.78188E7|
||2014|2.0828977E8|5389000.0|2.702855E7|553500.0|3.96163E7||4196500.0|||3.3285E7|3315000.0|7744800.0|320500.0|670000.0||175000.0|30000.0|1.4166E7|8016000.0|7924000.0|1.23732E7|1.4657345E8|
||2015|2.1263277E8|1.0381E7|2.831855E7|553500.0|3.94133E7||7676500.0|||3.3685E7|4093000.0|7544800.0|335500.0|636000.0||175000.0|90000.0|1.42E7|8016000.0|2604000.0|1798700.0|1.63979403E8|
||2016|2.1216977E8|1.0381E7|2.828855E7|553500.0|3.93423E7||7676500.0|||3.3685E7|4093000.0|7544800.0|350500.0|650000.0||175000.0|90000.0|1.377E7|8016000.0|2604000.0|1787680.0|1.76508201E8|
||2017|2.0939077E8|2307400.0|2.635605E7|445000.0|3.88948E7||3899000.0|||3.0025E7|4180000.0|7544800.0|350500.0|650000.0||133000.0|90000.0|1.377E7|6498000.0|3410000.0|1787666.0|1.76624701E8|
||2018|2.0906077E8|2293000.0|2.596605E7|445000.0|3.88548E7||3906200.0|||2.6E7|4152000.0|7544800.0|365500.0|650000.0||133000.0|90000.0|1.377E7|6498000.0|6.944E7|1870550.0|1.9747848E8|
||2019|2.0879077E8|2283400.0|2.596605E7|445000.0|3.88573E7||3911000.0|||2.6E7|4180000.0|7544800.0|380500.0|650000.0||133000.0|90000.0|1.377E7|6578000.0|3.93638E7|1881050.0|1.9995858E8|
||2020|9.451771E7|1479100.0|9843908.0|265000.0|6.99189E7||3605000.0|||2.343E7|4150000.0|1644800.0|296640.0|650000.0||209350.0||1.377E7|1.1955E7|3.93638E7|1865050.0|2.0428813E8|
||2021|6.0424E7|1354100.0|1.0873108E7|220000.0|7.2117E7||3515000.0|||2.433E7|4100000.0|776000.0|760390.0|410000.0||384350.0||1.037E7|1.1055E7|3.93638E7|1851050.0|2.08492705E8|
|Kahramanmaraş-46|2011||||||||||25000.0|||||||||||||
||2013|||||||||||||||||||||2200.0|5320.0|
||2014||||||||||800.0||||||||||4500.0|2200.0|5320.0|
||2015||||||||||720.0||||||||||4000.0|2200.0|5320.0|
||2016||||||||||720.0||||||||||4000.0|2200.0|5320.0|
||2017||||||||||720.0||||||||||4000.0|4200.0|35320.0|
||2018||||||||||||||||||||12000.0|3460.0|32200.0|
||2019||||||||||||||||||||12000.0|3560.0|29920.0|
||2020||||||||||||||||||||12000.0|3560.0|29920.0|
||2021|15000.0|||||||||||||||||||10000.0|3250.0|28300.0|
|Karaman-70|2015||||||||||||||||||||1775250.0|||
||2016||||||||||||||||||||1775250.0|||
||2017||||||||||||||||||||1563825.0|||
||2018||||||||||||||||||||1481200.0|||
||2019||||||||||||||||||||1418200.0|||
||2020||||||||||||||||||||1800000.0|||
||2021||||||||||||||||||||990000.0|||
|Kastamonu-37|2011||100000.0||22500.0|||325000.0|||28000.0|||||||72000.0||30000.0||||
||2012||520000.0||12000.0|||120000.0|||20000.0|||||||8250.0||300000.0||||
||2013||820000.0||44200.0|||85000.0|||20000.0|||||||18000.0||1620000.0||||
||2014||700000.0||39000.0|||70000.0|||12750.0|||||||21000.0||1200000.0||||
||2015||345000.0||11700.0|||52000.0||||||||||13200.0||935000.0||||
||2016||330000.0||15600.0|||45000.0||||||||||11500.0||1140000.0||||
||2017||330000.0||15600.0|||45000.0||||||||||11500.0||1140000.0||||
||2018||180000.0||16200.0|||12000.0||||||||||4800.0||60000.0||||
||2019||60000.0||8100.0|||6000.0||||||||||2400.0||60000.0||||
||2020||15000.0|110800.0|1080.0|||6000.0||||||||||720.0||1917252.0||||
||2021||15000.0|360800.0|1200.0|||6000.0||||||||||600.0||494291.0|||5000.0|
|Kayseri-38|2013||||||||||||||||||||||107000.0|
||2014|||||||||||||||||||||19500.0|130800.0|
||2015|||||||||||||||||||||19500.0|130800.0|
||2016|||||||||||||||||||||19500.0|130800.0|
|Kırklareli-39|2013||||||||||300.0||||||||||1200.0||2000.0|
||2014||||||||||300.0||||||||||1200.0||2000.0|
||2015||||||||||300.0||||||||||1200.0||2000.0|
|Kocaeli-41|2011||40700.0|230400.0||56100.0||96000.0||80000.0|233000.0||490000.0|60200.0|||128030.0|||||||
||2012|||269640.0|||||||||||||227500.0|||||||
||2013|||675000.0||||39000.0|||998400.0||||||||||||1455000.0|
||2014|||687000.0||||30000.0|||240000.0||||||||||||2775000.0|
||2015|||675000.0|||||||38500.0||||||||||100000.0|1046000.0|1206000.0|
||2016|||675000.0|||||||38500.0||||||||||20000.0|1034000.0|1264000.0|
||2017|||675000.0|||||||||||||||||20000.0|1094000.0|5618000.0|
||2018|||675000.0|||||||||||||||||32000.0|1136000.0|5776000.0|
||2019|||675000.0|||||||||||||||||32000.0|1136000.0|5776000.0|
||2020|||675000.0|||||||||||||||||32000.0|1136000.0|5680000.0|
||2021|||675000.0|||||||||||||||||8000.0|1157000.0|5690000.0|
